id,title,final_decision,category,vote_count,conflict_flag,reconciliation_notes
37710006,Exposure to the COVID-19 news on social media and consequent psychological distress and potential behavioral change.,OUT_OF_SCOPE,observational,OUT_OF_SCOPE:3,N,Observational telephone survey in Iran about COVID-19 news exposure and anxiety
37699637,Prevention and promotion effects of Self Help Plus: secondary analysis of cluster randomised controlled trial data among South Sudanese refugee women in Uganda.,OUT_OF_SCOPE,secondary_analysis,OUT_OF_SCOPE:3,N,"Secondary analysis of cluster RCT in Uganda; non-pharmacological, non-Canadian"
37615885,Psychosis Symptom Trajectories Across Childhood and Adolescence in Three Longitudinal Studies: An Integrative Data Analysis with Mixture Modeling.,OUT_OF_SCOPE,observational,OUT_OF_SCOPE:3,N,Integrative data analysis of longitudinal observational studies on psychotic-like experiences
37540210,Evaluation of a therapist-guided virtual psychological pain management program when provided as routine care: a prospective pragmatic cohort study.,OUT_OF_SCOPE,observational,OUT_OF_SCOPE:3,N,Prospective pragmatic cohort study of psychological pain management program; not an RCT
37480840,Online sleep diaries: considerations for system development and recommendations for data management.,OUT_OF_SCOPE,non-mental-health,OUT_OF_SCOPE:3,N,"Methods paper on online sleep diary system development, not an RCT"
37462857,Does a multimodal prehabilitation program improve sleep quality and duration in patients undergoing colorectal resection for cancer? Pilot randomized control trial.,OUT_OF_SCOPE,non-mental-health,OUT_OF_SCOPE:3,N,"Pilot RCT of prehabilitation for colorectal cancer patients; non-pharmacological, not targeting mental disorder"
37415687,Evaluation of a male-specific psychotherapeutic program for major depressive disorder compared to cognitive behavioral therapy and waitlist: study protocol for a six-arm randomized clinical superiority trial examining depressed eugonadal and hypogonadal men receiving testosterone.,OUT_OF_SCOPE,protocol_only,OUT_OF_SCOPE:3,N,Study protocol for RCT in Switzerland/Germany; not Canadian
37408085,"Current status of nonsuicidal injuries and associated factors among junior high school students in Hainan Province, China: a cross-sectional study.",OUT_OF_SCOPE,observational,OUT_OF_SCOPE:3,N,"Cross-sectional study of NSSI in Hainan Province, China"
37331200,267th ENMC International workshop: psychological interventions for improving quality of life in slowly progressive neuromuscular disorders.,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE:3,N,Workshop report on psychological interventions for neuromuscular disorders
37316980,Stepping up to COVID-19: A Clinical Trial of a Telepsychology Positive Parenting Program Targeting Behavior Problems in Children With Neurological Risk.,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE:3,N,Telepsychology parenting program for children with neurodevelopmental disorders; non-pharmacological
37302508,The impact of peer-delivered cognitive behavioral therapy for postpartum depression on infant emotion regulation.,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE:3,N,Peer-delivered group CBT for postpartum depression; non-pharmacological intervention
37248896,Boswellic Acids Improve Clinical Cognitive Scores and Reduce Systemic Inflammation in Patients with Mild to Moderate Alzheimer's Disease.,OUT_OF_SCOPE,non-canadian,OUT_OF_SCOPE:3,N,Double-blind placebo-controlled trial of boswellic acids for AD conducted in Iran
37204794,Effect of Vitamin D3 Supplementation in the First 2 Years of Life on Psychiatric Symptoms at Ages 6 to 8 Years: A Randomized Clinical Trial.,OUT_OF_SCOPE,non-canadian,OUT_OF_SCOPE:3,N,RCT of vitamin D3 supplementation in Finland; not targeting diagnosed mental disorder
37195284,Differential Employment Quality and Educational Inequities in Mental Health: A Causal Mediation Analysis.,OUT_OF_SCOPE,observational,OUT_OF_SCOPE:3,N,Causal mediation analysis of employment and mental health inequities in the US; observational
36225762,Naturalistic randomized controlled trial demonstrating effectiveness of Text4Hope in supporting male population mental health during the COVID-19 pandemic.,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE:3,N,Canadian RCT of text messaging service (Text4Hope) for mental health; non-pharmacological
36417403,Preliminary efficacy of cognitive-behavioral therapy on emotion regulation in adults with autism spectrum disorder: A pilot randomized waitlist-controlled study.,OUT_OF_SCOPE,non-canadian,OUT_OF_SCOPE:3,N,"Pilot RCT of group CBT for emotion regulation in autistic adults in Japan; non-pharmacological, non-Canadian"
35501967,Citalopram Did Not Significantly Improve Anxiety in Children with Autism Spectrum Disorder Undergoing Treatment for Core Symptoms: Secondary Analysis of a Trial to Reduce Repetitive Behaviors.,OUT_OF_SCOPE,secondary_analysis,OUT_OF_SCOPE:3,N,"Secondary analysis of STAART trial of citalopram in ASD children; secondary analysis, not primary results"
34261408,Depression and suicidal ideation in schizophrenia spectrum disorder: a cross-sectional study from a lower middle-income country.,OUT_OF_SCOPE,observational,OUT_OF_SCOPE:3,N,Cross-sectional analysis of baseline data from RCT in Pakistan; not primary trial results
37016788,"Efficacy of dynamic interpersonal therapy for major depressive disorder in China: results of a multicentered, three-arm, randomized, controlled trial.",OUT_OF_SCOPE,non-canadian,OUT_OF_SCOPE:3,N,RCT of dynamic interpersonal therapy for MDD in China; non-Canadian
35103380,Technology-enabled collaborative care for youth with early psychosis: Results of a feasibility study to improve physical health behaviours.,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE:3,N,Feasibility RCT of health coaching for physical health behaviours in early psychosis in Ontario; non-pharmacological
36777795,Evaluation of the Effect of a Serious Game on the Performance of Daily Routines by Autistic and ADHD Children.,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE:3,N,Evaluation of serious game for daily routines in autistic/ADHD children; non-pharmacological
35627807,Functional Outcomes in a Randomized Controlled Trial of Animal-Assisted Therapy on Middle-Aged and Older Adults with Schizophrenia.,OUT_OF_SCOPE,non-canadian,OUT_OF_SCOPE:3,N,"RCT of animal-assisted therapy for schizophrenia in Taiwan; non-pharmacological, non-Canadian"
36376052,Individualized antidepressant therapy in patients with major depressive disorder: Novel evidence-informed decision support tool.,OUT_OF_SCOPE,review/meta-analysis,OUT_OF_SCOPE:3,N,Literature review and clinical decision support tool development; not an RCT
35083937,Publication trends in telemedicine research originating from Canada.,OUT_OF_SCOPE,observational,OUT_OF_SCOPE:3,N,Bibliometric evaluation of telemedicine literature in Canada; not an RCT
31429790,"Effectiveness of Yi-Zhi-An-Shen granules on cognition and sleep quality in older adults with amnestic mild cognitive impairment: protocol for a randomized, double-blind, placebo-controlled trial.",OUT_OF_SCOPE,protocol_only,OUT_OF_SCOPE:3,N,"Protocol for RCT of herbal granules for MCI in China; protocol only, non-Canadian"
36414783,Effect of one-shot cognitive behavioral therapy on insomnia and heart rate variability of health care workers at the time of COVID-19 pandemic: a randomized controlled trial.,OUT_OF_SCOPE,non-canadian,OUT_OF_SCOPE:3,N,"RCT of one-shot CBT-I for healthcare workers in Iran; non-pharmacological, non-Canadian"
34875282,Adapting behavioral activation for perinatal depression and anxiety in response to the COVID-19 pandemic and racial injustice.,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE:3,N,"Qualitative study of behavioral activation adaptation for perinatal depression; non-pharmacological, no primary trial results"
33588077,Rationale and protocol for a randomized waitlist controlled trial of videoconference delivered cognitive behaviour therapy for insomnia (CBT-I) to improve perceived cognitive impairment (PCI) among cancer survivors.,OUT_OF_SCOPE,protocol_only,OUT_OF_SCOPE:3,N,"Protocol for RCT of videoconference CBT-I for cancer survivors; protocol only, non-pharmacological"
33300578,No Abuse Potential of Silexan in Healthy Recreational Drug Users: A Randomized Controlled Trial.,OUT_OF_SCOPE,non-mental-health,OUT_OF_SCOPE:3,N,Phase I abuse liability study of Silexan in healthy recreational drug users; not treating mental disorder
29977518,"Rethinking the spectrum of mood disorders: implications for diagnosis and management - Proceedings of a symposium presented at the 30th Annual European College of Neuropsychopharmacology Congress, 4 September 2017, Paris, France.",OUT_OF_SCOPE,review/meta-analysis,OUT_OF_SCOPE:3,N,Symposium proceedings/narrative review on mood disorder spectrum; not an RCT
35922096,Comparative effectiveness of three versions of a stepped care model for insomnia differing in the amount of therapist support in internet-delivered treatment: study protocol for a pragmatic cluster randomised controlled trial (GET Sleep).,OUT_OF_SCOPE,protocol_only,OUT_OF_SCOPE:3,N,"Protocol for stepped care CBT-I trial in Germany; protocol only, non-Canadian, non-pharmacological"
34384459,Sleeping for two: study protocol for a randomized controlled trial of cognitive behavioral therapy for insomnia in pregnant women.,OUT_OF_SCOPE,protocol_only,OUT_OF_SCOPE:3,N,"Protocol for RCT of CBT-I in pregnancy in Calgary; protocol only, non-pharmacological"
