batch,id,title,original_decision,qa_decision,category,notes
10,27233840,Flexible dual-form nicotine replacement therapy or varenicline in comparison with nicotine patch for smoking cessation,MAP,MAP,substance_use,RCT; tobacco use disorder (DSM-5); NRT/varenicline pharma; Canadian (Ottawa); main results 2016
10,29700801,Ketamine-based anesthesia improves electroconvulsive therapy outcomes,MAP,EXCLUDE,,"Pharma intervention (ketamine) used as anesthetic for ECT, not targeting the mental disorder directly; adjunct anesthesia study"
10,31547752,Agitation Oxidative Stress and Cytokines in Alzheimer Disease: Biomarker Analyses From a Clinical Trial With Nabilone,MAP,EXCLUDE,,Secondary biomarker analysis from parent nabilone trial; not main trial results
10,35310527,Use of medium chain triglyceride (MCT) oil in subjects with Alzheimer's disease,MAP,EXCLUDE,,"MCT oil is a nutritional supplement, not a pharmacological intervention"
10,35637185,Correction: Clinical utility of combinatorial pharmacogenomic testing in depression,MAP,EXCLUDE,,"Correction/erratum; intervention is pharmacogenomic testing strategy, not a pharmacological intervention targeting MDD"
10,37936330,Vortioxetine for the treatment of post-COVID-19 condition,MAP,EXCLUDE,,"Target condition is post-COVID-19 condition, not a diagnosed mental disorder per DSM-5/ICD"
10,38454079,Comparative effectiveness research trial for antidepressant incomplete and non-responders with treatment resistant depression (ASCERTAIN-TRD),MAP,MAP,depression,"RCT; MDD/TRD (DSM-5); pharma arms (aripiprazole augmentation, venlafaxine switch); likely Canadian sites; main results 2024"
10,rank_1488,Evaluation of the effectiveness and safety of olanzapine as an adjunctive treatment for anorexia nervosa in adolescents: An open-label trial,MAP,EXCLUDE,,Open-label single-arm trial; not an RCT
11,26967214,Efficacy and Safety of ABT-126 in Subjects with Mild-to-Moderate Alzheimer's Disease,MAP,UNCERTAIN,dementia,RCT; AD (ICD); pharma; cannot confirm Canadian recruitment site from abstract; multicenter but countries not specified
11,27208498,Brexpiprazole as adjunctive treatment of major depressive disorder with anxious distress,MAP,EXCLUDE,,Post-hoc analysis of two RCTs; not main trial results
11,27318221,Effects of armodafinil and CBT-I on sleep continuity and daytime sleepiness in cancer survivors,MAP,EXCLUDE,,Non-Canadian; US academic medical centers ('two northeastern academic medical centers')
11,27665002,Housing First Improves Adherence to Antipsychotic Medication Among Formerly Homeless Adults With Schizophrenia,MAP,EXCLUDE,,"Intervention is Housing First (housing program), not a pharmacological intervention; pharma adherence is outcome not intervention"
11,27742581,Oxidative stress predicts depressive symptom changes with omega-3 fatty acid treatment in coronary artery disease patients,MAP,EXCLUDE,,"Secondary analysis of CAROTID trial; depressive symptoms in CAD patients, not diagnosed MDD"
11,28044255,Mavoglurant Augmentation in OCD Patients Resistant to SSRIs,MAP,UNCERTAIN,anxiety_trauma_ocd,RCT; OCD (DSM-5); pharma; multicenter but cannot confirm Canadian recruitment site from abstract
11,28105576,Effects of CBT-I and armodafinil on quality of life in cancer survivors,MAP,EXCLUDE,,Non-Canadian (US sites); secondary analysis of same trial as 27318221
11,28343051,Tolerability of cariprazine in the treatment of acute bipolar I mania,MAP,EXCLUDE,,Pooled post-hoc analysis of 3 phase II/III studies; not main trial results
11,29627621,The OPTIMA study buprenorphine/naloxone and methadone models of care for prescription opioid use disorder,MAP,EXCLUDE,,Study design/rationale paper (protocol); no main trial results reported
11,30498564,A pilot dose finding study of pioglitazone in autistic children,MAP,EXCLUDE,,"Single-arm dose-finding study, not an RCT; no randomized control group"
11,30522875,Effects of suvorexant on the Insomnia Severity Index in patients with insomnia,MAP,EXCLUDE,,Pooled exploratory/secondary analysis of phase 3 registration data; not main trial results
11,30913472,A patient decision aid for antidepressant use in pregnancy: Pilot RCT,MAP,EXCLUDE,,"Intervention is an online patient decision aid, not a pharmacological intervention"
11,31098654,An increase in plasma BDNF levels is related to n-3 PUFA efficacy in first episode schizophrenia: secondary outcome analysis of the OFFER RCT,MAP,EXCLUDE,,Explicitly secondary outcome analysis of OFFER trial
11,32221178,Change in Defense Mechanisms and Depression in a Pilot Study of Antidepressive Medications Plus Psychotherapy,MAP,EXCLUDE,,"Pharma given to all participants; randomization was to psychotherapy type (CBT vs dynamic), not to pharmacological intervention"
11,33641259,Pharmacogenomics guided versus standard antidepressant treatment in a community pharmacy setting,MAP,EXCLUDE,,"Intervention is pharmacogenomic-guided prescribing strategy, not a specific pharmacological intervention"
11,33854039,Metformin for early comorbid glucose dysregulation and schizophrenia spectrum disorders,MAP,EXCLUDE,,"Metformin targets metabolic comorbidity (glucose dysregulation), not the mental disorder; primary outcomes are metabolic"
11,34153630,Neurocognitive aspects of ketamine and esketamine on subjects with treatment-resistant depression,MAP,UNCERTAIN,depression,RCT; TRD/MDD (DSM-5); pharma; cannot confirm Canadian site from abstract; likely non-Canadian (Brazilian journal)
11,35771573,Association of Molecular Senescence Markers in Late-Life Depression With Clinical Characteristics and Treatment Outcome,MAP,EXCLUDE,,Non-randomized open-label clinical trial; not an RCT
11,37530824,Duration of Adjunctive Antidepressant Maintenance in Bipolar I Depression,MAP,MAP,bipolar_mood,RCT; bipolar I (DSM-5); pharma (escitalopram/bupropion XL); Canadian-led multisite trial; main results 2023
11,39800452,Blarcamesine for the treatment of Early Alzheimer's Disease: ANAVEX2-73-AD-004 Phase IIB/III trial,MAP,UNCERTAIN,dementia,RCT; AD (ICD); pharma; multicenter 5 countries but cannot confirm Canadian site from abstract
12,10.3233/adr-210296,Phase II (NAVIGATE-AD study) Results of LY3202626 Effects on Patients with Mild Alzheimer's Disease Dementia,MAP,UNCERTAIN,dementia,No abstract available in database; cannot verify inclusion criteria
12,27438687,Combining moderators to identify clinical profiles of patients who will and will not benefit from aripiprazole augmentation for treatment resistant late-life MDD,MAP,EXCLUDE,,Exploratory moderator analysis from parent trial; secondary/post-hoc analysis
12,28143413,Use of the EMPOWER brochure to deprescribe sedative-hypnotic drugs in older adults with mild cognitive impairment,MAP,EXCLUDE,,Post-hoc analysis of EMPOWER trial; intervention is educational brochure (non-pharma); deprescribing study
12,28526048,Men's and women's response to treatment and perceptions of outcomes in a randomized controlled trial of injectable opioid assisted treatment,MAP,EXCLUDE,,Explicitly secondary analysis from SALOME trial
12,28651701,Oxidative stress reduction related to the efficacy of n-3 PUFA in first episode schizophrenia: Secondary outcome analysis of the OFFER trial,MAP,EXCLUDE,,Explicitly secondary outcome analysis of OFFER trial
12,29235659,Effect of Metabolic Syndrome on Late-Life Depression: Associations with Disease Severity and Treatment Resistance,MAP,EXCLUDE,,Explicitly secondary analysis of RCT
12,30135032,12-week double-blind randomized multicenter study of agomelatine vs escitalopram in severe generalized anxiety disorder,MAP,MAP,anxiety_trauma_ocd,RCT; GAD (DSM-5); pharma (agomelatine vs escitalopram); Canadian site confirmed; main results 2018
12,30261917,Adaptive crossover designs for assessment of symptomatic treatments targeting behaviour in neurodegenerative disease (FOXY),MAP,EXCLUDE,,Study design/protocol paper; no main trial results reported
12,32280089,Concentration-Dependent Activity of Hydromethylthionine on Clinical Decline and Brain Atrophy in bvFTD,MAP,UNCERTAIN,dementia,RCT; bvFTD (DSM-5 neurocognitive disorder); pharma; cannot confirm Canadian site from abstract
13,26496015,Asenapine: Efficacy and safety of 5 and 10mg bid in a 3-week trial in adults with bipolar I disorder,MAP,UNCERTAIN,bipolar_mood,RCT; bipolar I (DSM-5); pharma (asenapine); international but cannot confirm Canadian site
13,27515452,The role of sleep quality and quantity in moderating the effectiveness of medication in the treatment of children with ADHD,MAP,UNCERTAIN,adhd,RCT; ADHD (DSM-5); pharma (MPH); cannot confirm Canadian site from abstract; N=21
13,27821210,Asenapine for the treatment of adults with an acute exacerbation of schizophrenia,MAP,UNCERTAIN,schizophrenia,RCT; schizophrenia (DSM-IV-TR); pharma (asenapine); cannot confirm Canadian site
13,28647012,Striatal Activation Predicts Differential Therapeutic Responses to Methylphenidate and Atomoxetine,MAP,EXCLUDE,,Secondary neuroimaging predictor analysis from parent RCT; not main clinical trial results
13,31721892,Association of BDNF HTR2A TPH1 SLC6A4 and COMT polymorphisms with tDCS and escitalopram efficacy,MAP,EXCLUDE,,Ancillary analysis of ELECT-TDCS trial; non-Canadian (Brazilian)
13,33092404,Minocycline as adjunctive treatment for major depressive disorder: Pooled data from two randomized controlled trials,MAP,EXCLUDE,,Pooled analysis combining data from two separate RCTs; not main trial results
13,34782701,Rostral anterior cingulate network effective connectivity in depressed adolescents and associations with treatment response,MAP,EXCLUDE,,Secondary neuroimaging analysis from parent RCT; not main clinical trial results
13,34971723,Electrophysiological correlates and predictors of the antidepressant response to repeated ketamine infusions in TRD,MAP,EXCLUDE,,Secondary electrophysiology/predictor analysis from parent ketamine trial
13,36151869,Amyloid-Related Imaging Abnormalities in the DIAN-TU-001 Trial of Gantenerumab and Solanezumab,MAP,EXCLUDE,,Secondary safety analysis (ARIA) from parent DIAN-TU-001 trial; not main trial results
