id,title,decision,category,confidence,notes
39443721,Extended course accelerated intermittent theta burst stimulation as a substitute for depressed patients needing electroconvulsive therapy.,OUT_OF_SCOPE,non-pharmacological (brain stimulation); open label clinical trial not RCT,high,Non-pharmacological intervention (aiTBS); open-label design
39411379,"Peri-articular Dextrose Prolotherapy: Investigating the Effect of Injection Site on Knee Osteoarthritis Pain: A Double-Blind, Randomized, Clinical Trial.",OUT_OF_SCOPE,not mental disorder; not Canada,high,Knee osteoarthritis; Iran-based authors
39342161,Criterion validity of a single-item measure of fear avoidance behavior following mild traumatic brain injury.,OUT_OF_SCOPE,secondary analysis; non-pharmacological,high,Secondary analysis of clinical trial; validation study
39297292,Measuring clinically relevant change in apathy symptoms in ADMET and ADMET 2.,OUT_OF_SCOPE,secondary analysis of RCT data,high,Retrospective analysis of MCID; not primary results
39282694,Effects of social anxiety and self-schemas on the impact and meaningfulness of positive versus negative social autobiographical memories.,OUT_OF_SCOPE,not pharmacological; experimental psychology study,high,Experimental study via Prolific; no pharmacological intervention
39281595,Emotion word repertoire in the adult attachment interview is linked to reduced suicide attempts in patients with borderline personality disorder.,OUT_OF_SCOPE,secondary data analysis,high,Secondary analysis from RCT for BPD
39241562,Halifax somatic symptom disorder trial: A pilot randomized controlled trial of intensive short-term dynamic psychotherapy in the emergency department.,OUT_OF_SCOPE,non-pharmacological (psychotherapy),high,RCT of psychotherapy (ISTDP); Canadian; but non-pharmacological
39231549,Genetics Navigator: protocol for a mixed methods randomized controlled trial evaluating a digital platform to deliver genomic services in Canadian pediatric and adult populations.,OUT_OF_SCOPE,protocol without results; not mental disorder; not pharmacological,high,RCT protocol only; genetic counseling platform
39218124,An Integrative Pediatric Oncology Program Addressing Parents' Quality of Life-Related Concerns.,OUT_OF_SCOPE,not mental disorder; non-pharmacological; not RCT,high,Non-randomized controlled study; Israel-based
39214996,The interaction of oxytocin and nicotine addiction on psychosocial stress: an fMRI study.,OUT_OF_SCOPE,not Canada; experimental neuroscience study,high,China-based fMRI study; not clinical treatment trial
39211999,Qualitative evaluation of the SHARING Choices trial of primary care advance care planning for adults with and without dementia.,OUT_OF_SCOPE,qualitative study; non-pharmacological,high,Qualitative evaluation of advance care planning intervention
39205914,Adjunctive methylphenidate extended release in patients with schizophrenia: Protocol of a single-centre fixed dose cross-over open-label trial to improve functional and cognitive outcomes.,OUT_OF_SCOPE,protocol without results,high,Protocol only; Canadian site (Royal Ottawa); no results yet
39185937,The effects of a teacher-led online mental health literacy program for high school students: a pilot cluster randomized controlled trial.,OUT_OF_SCOPE,not pharmacological; not mental disorder; not Canada,high,Japan-based; educational intervention for students
39169515,Aquatic versus land-based exercise for knee osteoarthritis: a randomized controlled trial.,OUT_OF_SCOPE,not mental disorder; not pharmacological; not Canada,high,Knee OA exercise trial; Tunisia-based
39154169,Adverse event assessment in a parenting programme: experiences from a multisite randomised controlled trial.,OUT_OF_SCOPE,non-pharmacological; not mental disorder; not Canada,high,Parenting program; South-eastern Europe
39144112,"Add-on Sodium Benzoate and N-Acetylcysteine in Patients With Early Schizophrenia Spectrum Disorder: A Multicenter, Double-Blind, Randomized Placebo-Controlled Feasibility Trial.",UNCERTAIN,unclear Canadian involvement; RCT; pharmacological; schizophrenia,medium,Feasibility RCT of NaB+NAC in schizophrenia; authors include Husain (Toronto); unclear if Canadian site
39137162,Amphetamine-Induced Dopamine Release Predicts 1-Year Outcome in First-Episode Psychosis: A Naturalistic Observation.,OUT_OF_SCOPE,observational/naturalistic study; not RCT,high,PET imaging study; naturalistic observation; not a treatment RCT
39135468,A Safe Haven Through Attachment: A Dyadic Perspective on the Association Between Cumulative Childhood Trauma and Relationship Satisfaction.,OUT_OF_SCOPE,observational; not RCT; not pharmacological,high,Cross-sectional survey study
39135349,Effectiveness of two visual-pedagogical methods for toothbrushing skills in autistic children: A randomized clinical trial.,OUT_OF_SCOPE,non-pharmacological; dental intervention,high,Video vs poster for toothbrushing; not pharmacological
39129175,A review of the role for pelvic floor physiotherapy in postmenopausal women with urinary incontinence.,OUT_OF_SCOPE,review article; not RCT,high,Narrative review
39115246,Quantitative Analysis of Factors of Attrition in a Double-blind rTMS Study for Alzheimer Treatment.,OUT_OF_SCOPE,secondary analysis of attrition; non-pharmacological (rTMS),high,Analysis of withdrawal reasons from rTMS trial
