id,title,decision,category,confidence,notes
28324814,Risk of injury from alcohol; marijuana and other drug use among emergency department patients.,EXCLUDE,non-RCT,0.93,Canada (Vancouver/Victoria) but observational case-control ED study; not MH pharma RCT
35220359,The Relationship Between Depression and Pain During Acute Electroconvulsive Therapy and Follow-Up Period for Patients With Treatment-Resistant Depression.,EXCLUDE,non-Canadian,0.97,No Canadian site or PI identified
28069279,Masitinib for treatment of severely symptomatic indolent systemic mastocytosis: a randomised; placebo-controlled; phase 3 study.,EXCLUDE,non-Canadian,0.97,No Canadian site or PI identified
30714202,Cognitive behavioral therapy improves diverse profiles of depressive symptoms in Parkinson's disease.,EXCLUDE,non-Canadian,0.97,No Canadian site or PI identified
28535455,The effectiveness of telemedicine-delivered opioid agonist therapy in a supervised clinical setting.,EXCLUDE,non-MH,0.93,Canada (Ontario) but OUD treatment; not primary diagnosed MH per DSM-5; non-randomized cohort
30880991,GSK-3β and BDNF genes may not be associated with venlafaxine treatment response in Chinese of Han ethnicity.,EXCLUDE,non-Canadian,0.97,No Canadian site or PI identified
27784414,Are Patients with Childhood Onset of Insomnia and Depression More Difficult to Treat Than Are Those with Adult Onsets of These Disorders? A Report from the TRIAD Study.,EXCLUDE,secondary-analysis,0.97,Secondary/post-hoc analysis
32849235,Novel TMS for Stroke and Depression (NoTSAD): Accelerated Repetitive Transcranial Magnetic Stimulation as a Safe and Effective Treatment for Post-stroke Depression.,EXCLUDE,non-Canadian,0.97,No Canadian site or PI identified
31948296,Effect of Pretreatment of S-Ketamine On Postoperative Depression for Breast Cancer Patients.,EXCLUDE,non-Canadian,0.97,No Canadian site or PI identified
30153563,Capacity to provide informed consent among adults with bipolar disorder.,EXCLUDE,non-Canadian,0.97,No Canadian site or PI identified
25308771,Sertraline hydrochloride treatment for patients with stable chronic obstructive pulmonary disease complicated with depression: a randomized controlled trial.,EXCLUDE,non-Canadian,0.97,No Canadian site or PI identified
27181179,Effect of recombinant erythropoietin on inflammatory markers in patients with affective disorders: A randomised controlled study.,EXCLUDE,non-Canadian,0.97,No Canadian site or PI identified
26291629,Evaluating the Psychometric Properties of 3 Depression Measures in a Sample of Persons With Traumatic Brain Injury and Major Depressive Disorder.,EXCLUDE,secondary-analysis,0.97,Secondary/post-hoc analysis
