batch,id,title,original_decision,qa_decision,category,notes
1,26580307,Efficacy of Bright Light Treatment Fluoxetine and the Combination in Patients With Nonseasonal Major Depressive Disorder,MAP,MAP,depression,"RCT of fluoxetine (pharma) for MDD. Canadian PI (Lam RW, UBC). Published 2016. Meets all criteria."
1,27049826,Hydromorphone Compared With Diacetylmorphine for Long-term Opioid Dependence,MAP,MAP,substance_use,RCT of injectable hydromorphone vs diacetylmorphine for opioid use disorder. Vancouver BC site. Published 2016. Meets all criteria.
1,30654643,Olanzapine Versus Placebo in Adult Outpatients With Anorexia Nervosa,MAP,OUT_OF_SCOPE,eating_disorder,"EXCLUDE: No Canadian recruitment site identified. Five North American sites listed; authors from Columbia, Johns Hopkins, Pittsburgh, U of Pittsburgh, Toronto (Kaplan AS). Kaplan is a co-author but abstract does not confirm Canadian recruitment site. Sites appear US-based. Need to verify but on abstract alone, Canadian site not confirmed. Kaplan may be co-author only without Canadian site."
1,30922101,Single repeated and maintenance ketamine infusions for treatment-resistant depression,MAP,MAP,depression,"RCT of ketamine for TRD. Phillips JL, Blier P - Ottawa (Canadian). Single-site. Published 2019. Meets all criteria."
1,31066887,Efficacy of Adjunctive Infliximab vs Placebo in the Treatment of Adults With Bipolar I/II Depression,MAP,MAP,bipolar_mood,RCT of infliximab for bipolar depression. Two sites: Canada and US. McIntyre RS (Toronto). Published 2019. Meets all criteria.
2,31182351,Randomized Placebo-Controlled Trial of Nabilone for Agitation in Alzheimers Disease,MAP,MAP,dementia,"RCT of nabilone for agitation in AD. Herrmann N, Lanctot KL - Sunnybrook Toronto. Canadian site. Published 2019. Meets all criteria."
3,27556593,Metformin for Treatment of Overweight Induced by Atypical Antipsychotic Medication in Young People With Autism Spectrum Disorder,MAP,OUT_OF_SCOPE,other_mental_health,EXCLUDE: Metformin targets metabolic side effects (weight gain) NOT a mental disorder itself. The pharma intervention does not target ASD symptoms. It targets overweight/metabolic complications. Fails criterion 3.
3,31759333,Single and repeated ketamine infusions for reduction of suicidal ideation in treatment-resistant depression,MAP,OUT_OF_SCOPE,depression,"EXCLUDE: Secondary analysis of PMID 30922101. Explicitly states ""The purpose of this secondary analysis was to evaluate reduction in SI."" Same trial, different outcome. Fails exclusion criterion for secondary/post-hoc analyses."
3,34570180,Effect of Methylphenidate on Apathy in Patients With Alzheimer Disease: The ADMET 2 Randomized Clinical Trial,MAP,MAP,dementia,"RCT of methylphenidate for apathy in AD. 9 US + 1 Canadian clinic. Lanctot KL (Toronto), Herrmann N. Published 2021. Meets all criteria."
4,31429896,Effect of Continuing Olanzapine vs Placebo on Relapse Among Patients With Psychotic Depression in Remission: The STOP-PD II,MAP,MAP,psychotic,RCT of olanzapine continuation for psychotic depression. 4 academic centers. Flint AJ (Toronto). Published 2019. Canadian PI. Meets all criteria.
4,32639561,Effectiveness of Sequential Psychological and Medication Therapies for Insomnia Disorder,MAP,MAP,other_mental_health,RCT of sequential BT and zolpidem for insomnia disorder. Morin CM - Universite Laval Quebec. Canadian site. Published 2020. Pharma arm (zolpidem). Meets all criteria.
4,35120288,Treating Insulin Resistance With Metformin as a Strategy to Improve Clinical Outcomes in Treatment-Resistant Bipolar Depression (TRIO-BD),MAP,MAP,bipolar_mood,"RCT of metformin to reverse insulin resistance and improve bipolar depression outcomes. Calkin CV, Alda M - Dalhousie, Halifax. 2-site Canadian. Published 2022. Pharma targets depression improvement. Meets all criteria."
