id,title,final_decision,category,vote_count,conflict_flag,reconciliation_notes
10.1007/s10826-015-0299-z,A Mindfulness-Based Meditation Pilot Study: Lessons Learned in Adolescents with Cancer.,OUT_OF_SCOPE,Non-pharmacological,3/3,FALSE,Unanimous agreement
10.1016/j.jadr.2021.100240,Evaluating the risk of psilocybin for the treatment of bipolar depression: A review.,OUT_OF_SCOPE,Review,3/3,FALSE,Unanimous agreement
10.1177/0143034318773523,Effectiveness of mindfulness-based colouring for test anxiety in adolescents.,OUT_OF_SCOPE,Non-pharmacological,3/3,FALSE,Unanimous agreement
10.46747/cfp.6710739,Cycling for health: Improving health and mitigating the climate crisis.,OUT_OF_SCOPE,Review,3/3,FALSE,Unanimous agreement
26518774,A longitudinal study of suicidal ideation among homeless mentally ill individuals.,OUT_OF_SCOPE,Observational,3/3,FALSE,Unanimous agreement
26541307,EEG alpha power during working memory in adults with ADHD and plasticity due to working memory training.,OUT_OF_SCOPE,Non-pharmacological,3/3,FALSE,Unanimous agreement
26721567,A Randomised Controlled Trial of Evidence Based Supported Employment for People Who Have Recently Been Homeless and Have a Mental Illness.,OUT_OF_SCOPE,Non-pharmacological,3/3,FALSE,Unanimous agreement
26815638,Challenges in interdisciplinary weight management in primary care: Lessons from 5As Team study.,OUT_OF_SCOPE,Non-pharmacological,3/3,FALSE,Unanimous agreement
26829218,Accuracy of Hysteroscopic Metroplasty With 3D Ultrasonography and Intrauterine Palpator.,OUT_OF_SCOPE,Non-mental-health,3/3,FALSE,Unanimous agreement
26879927,Validation of the Sour Seven Questionnaire for screening delirium in hospitalized seniors.,OUT_OF_SCOPE,Observational,3/3,FALSE,Unanimous agreement
26967214,Efficacy and Safety of ABT-126 in Subjects with Mild-to-Moderate Alzheimer's Disease.,MAP,Pharmacotherapy,3/3,FALSE,Unanimous agreement
27208498,Brexpiprazole as adjunctive treatment of major depressive disorder with anxious distress.,MAP,Pharmacotherapy,3/3,FALSE,Unanimous agreement
27219531,Therapeutic alliance mediates the association between personality and treatment outcome in MDD.,OUT_OF_SCOPE,Non-pharmacological,2/3,TRUE,Majority rule; dissent: UNCERTAIN
27310238,Outcome Trajectories among Homeless Individuals with Mental Disorders in a Multisite RCT of Housing First.,OUT_OF_SCOPE,Non-pharmacological,3/3,FALSE,Unanimous agreement
27318221,Effects of armodafinil and CBT-I on sleep continuity and daytime sleepiness in cancer survivors.,MAP,Pharmacotherapy,2/3,TRUE,Majority rule; dissent: OUT_OF_SCOPE
27347792,A quasi-experimental study of a reminiscence program in institutionalized older adults with cognitive impairment.,OUT_OF_SCOPE,Non-pharmacological,3/3,FALSE,Unanimous agreement
27497762,Impact of Enzalutamide vs Bicalutamide on Quality of Life in Metastatic Castration-resistant Prostate Cancer.,OUT_OF_SCOPE,Non-mental-health,3/3,FALSE,Unanimous agreement
