id,title,final_decision,category,vote_count,conflict_flag,reconciliation_notes
35794487,Comparison of the effectiveness of peloid and paraffin treatment for symptomatic hand osteoarthritis in women,OUT_OF_SCOPE,non-mental-health,OUT_OF_SCOPE:3,N,"RCT for hand osteoarthritis treatment, not mental health"
31147378,Changing provider behaviour to increase nurse visits for obesity in family practice: the 5As Team randomized controlled trial,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE:3,N,"Canadian RCT of educational intervention for obesity care, non-pharmacological and not mental health"
29564507,Does low-dose gabapentin reduce opioid use postoperatively?,OUT_OF_SCOPE,non-mental-health,OUT_OF_SCOPE:3,N,"RCT of gabapentin for postoperative pain in pelvic surgery, not mental health"
34774711,"Transcranial Direct Current Stimulation Reduces Anxiety, Depression and Plasmatic Corticosterone in a Rat Model",OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE:3,N,Animal study (rat model) of tDCS for anxiety/depression in epilepsy
33629219,Hyperarousal and Insomnia in Survivors of Cancer,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE:3,N,"Cross-sectional analysis from CBT-I vs acupuncture trial for insomnia in US cancer survivors, non-pharmacological"
36185492,Type 2 diabetes is associated with increased risk of dementia,OUT_OF_SCOPE,observational,OUT_OF_SCOPE:3,N,"Cross-sectional observational study in Chinese communities, non-Canadian"
35783696,Treatment Satisfaction With Couplelinks Online Intervention,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE:3,N,"Canadian RCT of online psychological intervention for couples coping with breast cancer, non-pharmacological"
31188026,Pharmacogenetics of Metformin for Medication-Induced Weight Gain in Autism Spectrum Disorder,UNCERTAIN,other_mental_health,"UNCERTAIN:2,MAP:1",Y,Canadian (Anagnostou) pharmacogenetic analysis from RCT of metformin for antipsychotic weight gain in ASD youth; need to verify if this is primary results or secondary analysis
36931315,Concurrent versus terminal feedback: The effect of feedback delivery on lumbar puncture skills,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE:3,N,"RCT of simulation-based medical education for lumbar puncture, non-mental health"
31885758,Advance Care Planning and Decision-Making in a Home-Based Primary Care Service,OUT_OF_SCOPE,observational,OUT_OF_SCOPE:3,N,"Cross-sectional observational study of advance care planning in Vancouver, not an RCT"
35509502,Ethical considerations within pragmatic randomized controlled trials in dementia,OUT_OF_SCOPE,review/meta-analysis,OUT_OF_SCOPE:3,N,Literature review of ethical considerations in dementia pragmatic RCTs
31211178,No apparent effect of naproxen on CSF markers of innate immune activation,UNCERTAIN,dementia,"UNCERTAIN:2,MAP:1",Y,"Canadian PREVENT-AD trial of naproxen for AD prevention; naproxen is pharmacological but targeting AD prevention, not a diagnosed mental disorder per se; need to verify if primary results or secondary analysis"
31859688,Evaluating the Effects of a Rent Subsidy and Mentoring Intervention for Youth Transitioning Out of Homelessness: Protocol,OUT_OF_SCOPE,protocol_only,OUT_OF_SCOPE:3,N,Protocol for non-pharmacological RCT of rent subsidy and mentoring for homeless youth
32264800,Trajectories of Homeless Shelter Utilization in the At Home/Chez Soi Trial of Housing First,OUT_OF_SCOPE,secondary_analysis,OUT_OF_SCOPE:3,N,Secondary analysis of Housing First trial (non-pharmacological intervention) for shelter utilization
35903872,Mental distress and substance use among rural Black South African youth,OUT_OF_SCOPE,observational,OUT_OF_SCOPE:3,N,"Observational study of mental distress in South African youth, non-Canadian"
36327046,Effects of long-term Wuqinxi exercise on working memory in older adults with mild cognitive impairment,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE:3,N,"Non-pharmacological RCT of Chinese traditional exercise for MCI, non-Canadian"
