id,title,decision,category,confidence,notes
,Evaluating a Virtual Adult ADHD Group in a Primary Care Setting: Feasibility and Clinical Outcomes Pilot Study,EXCLUDE,non-pharma,0.80,CBT-based group for ADHD at St. Michael's Hospital Toronto Canada; non-pharmacological (psychotherapy); not pharma intervention
,Twiddler's Syndrome: a Rare Complication of Pacemakers,EXCLUDE,non-Canadian,0.85,Title mismatch; abstract describes melatonin + risperidone RCT for schizophrenia; authors from Indonesia; not Canadian
41192952,Chemotherapy Under Fire: Narratives of Patients With Cancer During Wartime,EXCLUDE,non-MH,0.90,Integrative oncology in wartime Israel; not MH pharma RCT
,The Application Value of Nursing Interventions Based on the Chronic Illness Trajectory Framework in Patients With Amyotrophic Lateral Sclerosis,EXCLUDE,non-pharma,0.90,Nursing intervention for ALS in China; non-pharmacological; non-Canadian
40420052,Cognitive functions in schizophrenia: the interplay between blood viscosity serum osmolarity and symptom severity,EXCLUDE,non-RCT,0.90,Observational study of blood viscosity and cognition in schizophrenia; not pharma RCT
,Preoperative insomnia exacerbates postoperative sleep fragmentation in elderly arthroplasty patients,EXCLUDE,non-MH,0.90,Prospective cohort of insomnia and arthroplasty outcomes; not pharma RCT for MH
40442633,A preliminary study of the reliability and validity of the Uyghur version of the NUCOG cognitive screening application,EXCLUDE,non-RCT,0.95,Psychometric validation study in China; not pharma RCT; not Canadian
40904277,Effects of nurse-led web-based brief behavioral therapy on insomnia severity in patients in the chronic stage of stroke recovery,EXCLUDE,non-pharma,0.85,BBTI for insomnia in stroke survivors; non-pharmacological; non-Canadian
41416579,Phase 2 study of zervimesine (CT1812) in participants with mild-to-moderate dementia with Lewy bodies (DLB),EXCLUDE,non-MH,0.75,Phase 2 pharma RCT of zervimesine for DLB; neurodegeneration not primary DSM-5 MH diagnosis; multi-center but unclear if Canadian site
41566492,Transauricular vagus nerve electrical stimulation improves postoperative sleep disorders in elderly patients (VNstep): protocol,EXCLUDE,protocol,0.90,Protocol for VNS trial in China; no results; non-Canadian
41456040,Safety and efficacy of allogeneic umbilical cord blood cells and erythropoietin combination therapy in patients with subacute stroke,EXCLUDE,non-MH,0.95,Cell therapy for stroke in South Korea; not MH pharma
,Mindfulness-based cognitive therapy for depression after traumatic brain injury: Responders' characteristics,EXCLUDE,non-pharma,0.80,MBCT for depression post-TBI; non-pharmacological; possibly Canadian but no pharma intervention
,Virtual reality-based exposure with 360 degree video as part of CBT for social anxiety disorder: a three-arm randomized controlled trial,EXCLUDE,non-pharma,0.85,VR exposure CBT for SAD; non-pharmacological; non-Canadian
,Targeting cognitive impairments in borderline personality disorder: A cognitive remediation approach,EXCLUDE,non-pharma,0.85,Cognitive remediation for BPD; non-pharmacological; possibly Canadian but not pharma
,Guided or self-guided resources: what works best for university student stress management?,EXCLUDE,non-pharma,0.90,Stress management resource comparison for students; non-pharmacological; possibly Canadian but not pharma for diagnosed MH
40549982,Multisite Randomized Trial of Inpatient Palliative Care Intervention for Patients Undergoing Hematopoietic Stem Cell Transplantation,EXCLUDE,non-MH,0.90,Palliative care for HSCT patients; not MH pharma; non-Canadian
