id,title,final_decision,category,vote_count,conflict_flag,reconciliation_notes
6609,Predicting CBT modality treatment participation and reliable improvements for individuals with anxiety and depression,OUT_OF_SCOPE,observational,OUT_OF_SCOPE:2,none,both screeners agree
6610,Social-Emotional Outcomes in Refugee Children: A Pilot RCT of School-Based Mindfulness,OUT_OF_SCOPE,non_pharma,OUT_OF_SCOPE:2,none,both screeners agree
6611,Development and Validation of the EBBQ-GID,OUT_OF_SCOPE,non_interventional,OUT_OF_SCOPE:2,none,both screeners agree
6612,The Relationship Between Early Onset Bipolar I Disorder with Clinical Features and Alexithymia,OUT_OF_SCOPE,observational,OUT_OF_SCOPE:2,none,both screeners agree
6613,Intermittent theta burst stimulation for negative symptoms in schizophrenia,OUT_OF_SCOPE,non_pharma,OUT_OF_SCOPE:2,none,both screeners agree
6614,Facilitation of working memory capacity by tDCS,OUT_OF_SCOPE,non_pharma,OUT_OF_SCOPE:2,none,both screeners agree
6615,MRI Radiomics Nomogram for Predicting Disease Transition in Preclinical AD,OUT_OF_SCOPE,observational,OUT_OF_SCOPE:2,none,both screeners agree
6616,Effect of combined tDCS and cognitive training on brain microstructure in late-life depression,OUT_OF_SCOPE,non_pharma,OUT_OF_SCOPE:2,none,both screeners agree
6617,Risk factors associated with severe progression of Parkinsons disease,OUT_OF_SCOPE,observational,OUT_OF_SCOPE:2,none,both screeners agree
6618,From Coping to Resilience: Youth with Lived Experience of Homelessness,OUT_OF_SCOPE,non_pharma,OUT_OF_SCOPE:2,none,both screeners agree
6619,Impact of bright light therapy on Parkinsons disease,OUT_OF_SCOPE,non_pharma,OUT_OF_SCOPE:2,none,both screeners agree
6620,Developing a Core Outcome Set for Pain Extended Reality Trials,OUT_OF_SCOPE,non_interventional,OUT_OF_SCOPE:2,none,both screeners agree
6621,Traditional Chinese medicine Jianpi Fuzheng formula for ischemic stroke,OUT_OF_SCOPE,non_canadian,OUT_OF_SCOPE:2,none,both screeners agree
6622,Genetically determined AD research advances conference report,OUT_OF_SCOPE,review,OUT_OF_SCOPE:2,none,both screeners agree
6623,Inform and do no harm: Nocebo education reduces false self-diagnosis,OUT_OF_SCOPE,non_pharma,OUT_OF_SCOPE:2,none,both screeners agree
6624,Metformin-improved cognitive impairment in patients with schizophrenia,OUT_OF_SCOPE,non-canadian,"OUT_OF_SCOPE:1,UNCERTAIN:1",minor,"B correct; China-based, no Canadian site"
6625,Effectiveness of Transcranial Stimulation on Cognitive Abilities of Older Adults with MCI,OUT_OF_SCOPE,review,OUT_OF_SCOPE:2,none,both screeners agree
6626,Effect of 4-week pulmonary telerehabilitation for respiratory PASC of COVID-19,OUT_OF_SCOPE,non_pharma,OUT_OF_SCOPE:2,none,both screeners agree
6627,Cerebral Small Vessel Disease: Current and Emerging Therapeutic Strategies,OUT_OF_SCOPE,review,OUT_OF_SCOPE:2,none,both screeners agree
6628,Time-restricted eating in early-stage Huntingtons disease protocol,OUT_OF_SCOPE,protocol,OUT_OF_SCOPE:2,none,both screeners agree
6629,Psychometric properties of Taiwan version of Emotion Dysregulation Inventory in ASD,OUT_OF_SCOPE,non_interventional,OUT_OF_SCOPE:2,none,both screeners agree
6630,Concurrent delivery of WET for PTSD in intensive eating disorder program,OUT_OF_SCOPE,non_pharma,OUT_OF_SCOPE:2,none,both screeners agree
6631,Consensus on core domains for hand eczema trials,OUT_OF_SCOPE,non_interventional,OUT_OF_SCOPE:2,none,both screeners agree
6632,Complex intervention to reduce hospital admissions for dementia in Germany,OUT_OF_SCOPE,non_pharma,OUT_OF_SCOPE:2,none,both screeners agree
6633,ADL+: Digital Toolkit for Multidomain Cognitive Interventions,OUT_OF_SCOPE,non_pharma,OUT_OF_SCOPE:2,none,both screeners agree
6634,Positive Social Autobiographical Memory Recall Enhances Positive Affect,OUT_OF_SCOPE,non_pharma,OUT_OF_SCOPE:2,none,both screeners agree
6635,Behavioral activation to prevent depression in at-risk adolescents,OUT_OF_SCOPE,non_pharma,OUT_OF_SCOPE:2,none,both screeners agree
6636,Integrated multifocal tDCS-EEG protocol for MCI and early dementia,OUT_OF_SCOPE,protocol,OUT_OF_SCOPE:2,none,both screeners agree
6637,Self-Reported Depression in Collegiate Athletes: Effect of Privacy,OUT_OF_SCOPE,non_interventional,OUT_OF_SCOPE:2,none,both screeners agree
6638,Nature Relatedness Usefully Links Well-Being the Environment and Sustainability,OUT_OF_SCOPE,review,OUT_OF_SCOPE:2,none,both screeners agree
6639,Efficacy and safety of taVNS for treatment-resistant schizophrenia,OUT_OF_SCOPE,non_pharma,OUT_OF_SCOPE:2,none,both screeners agree
6640,The evolving therapeutic landscape of dementia with Lewy bodies,OUT_OF_SCOPE,review,OUT_OF_SCOPE:2,none,both screeners agree
6641,Joint Anatomical Histological and Imaging Investigation of Midbrain Target Region for DBS,OUT_OF_SCOPE,non_interventional,OUT_OF_SCOPE:2,none,both screeners agree
6642,Assessing Whether Household Pets Buffer Responses to Stress,OUT_OF_SCOPE,non_pharma,OUT_OF_SCOPE:2,none,both screeners agree
6643,Five-factor personality and antidepressant response to iTBS for MDD,OUT_OF_SCOPE,secondary_analysis,"OUT_OF_SCOPE:1,MAP:1,UNCERTAIN:1",minor,secondary analysis of neurostimulation trial; D-cycloserine adjunctive not primary
6644,A Decision-Support System to Personalize Antidepressant Treatment in MDD,MAP,pharma_rct_canadian,MAP:2,none,both screeners agree
6645,Moderating Role of Cigarette Smoking on Efficacy of tDCS in Schizophrenia,OUT_OF_SCOPE,non_pharma,OUT_OF_SCOPE:2,none,both screeners agree
6646,Sex differences in dynamic cerebral autoregulation responses to exercise training,OUT_OF_SCOPE,non_pharma,OUT_OF_SCOPE:2,none,both screeners agree
6647,Group music therapy for proactive management of stress and anxiety,OUT_OF_SCOPE,non_pharma,OUT_OF_SCOPE:2,none,both screeners agree
