id,title,decision,category,notes
33641259,Pharmacogenomics guided versus standard antidepressant treatment in a community pharmacy setting: A randomized controlled trial.,MAP,pharmacogenomics_depression,Canadian RCT; pharmacogenomics-guided antidepressant treatment for MDD/GAD; community pharmacies; Quilty (CAMH); 2021
33854039,Metformin for early comorbid glucose dysregulation and schizophrenia spectrum disorders: a pilot double-blind randomized clinical trial.,OUT_OF_SCOPE,not_canadian,No Canadian site/PI identified
28809658,Impact of the Cognitive-Functional (Cog-Fun) Intervention on Executive Functions and Participation Among Children With Attention Deficit Hyperactivity Disorder: A Randomized Controlled Trial.,OUT_OF_SCOPE,non_pharma,Non-pharmacological intervention
34054594,Down and High: Reflections Regarding Depression and Cannabis.,OUT_OF_SCOPE,review,Narrative review of depression and cannabis; not primary RCT
27769226,The effectiveness of a Housing First adaptation for ethnic minority groups: findings of a pragmatic randomized controlled trial.,OUT_OF_SCOPE,non_pharma,Housing First RCT for ethnic minorities with mental illness; intervention is housing/case management not pharma; Canadian (Toronto)
28683228,Effect of Housing First on Suicidal Behaviour: A Randomised Controlled Trial of Homeless Adults with Mental Disorders.,OUT_OF_SCOPE,not_mh,Not diagnosed MH condition
33098330,Immersive virtual reality vs. non-immersive distraction for pain management of children during bone pins and sutures removal: A randomized clinical trial protocol.,OUT_OF_SCOPE,protocol,Study protocol without results
31416744,Effectiveness of a mindfulness-based psychoeducation group programme for early-stage schizophrenia: An 18-month randomised controlled trial.,OUT_OF_SCOPE,not_canadian,No Canadian site/PI identified
37131928,A comprehensive review of prioritised interventions to improve the health and wellbeing of persons with lived experience of homelessness.,OUT_OF_SCOPE,review,Review/meta-analysis/guideline
32988292,Efficacy of Melatonin for Sleep Disturbance in Children with Persistent Post-Concussion Symptoms: Secondary Analysis of a Randomized Controlled Trial.,OUT_OF_SCOPE,secondary_analysis,Secondary/post-hoc analysis
31488144,"A minimum evaluation protocol and stepped-wedge cluster randomized trial of ACCESS Open Minds, a large Canadian youth mental health services transformation project.",OUT_OF_SCOPE,protocol,Study protocol without results
30010704,The Effects of Exercise on Physical and Psychological Outcomes in Cancer Caregivers: Results From the RECHARGE Randomized Controlled Trial.,OUT_OF_SCOPE,non_pharma,Non-pharmacological intervention
33292729,Introducing virtual reality therapy for inpatients with dementia admitted to an acute care hospital: learnings from a pilot to pave the way to a randomized controlled trial.,OUT_OF_SCOPE,not_canadian,No Canadian site/PI identified
31098654,An increase in plasma brain derived neurotrophic factor levels is related to n-3 polyunsaturated fatty acid efficacy in first episode schizophrenia: secondary outcome analysis of the OFFER randomized clinical trial.,OUT_OF_SCOPE,secondary_analysis,Secondary/post-hoc analysis
32067288,Efficacy and safety of 5-hydroxytryptophan on depression and apathy in Parkinson's disease: a preliminary finding.,OUT_OF_SCOPE,non_pharma,Non-pharmacological intervention
31832970,Yoga as a Therapy for Irritable Bowel Syndrome.,OUT_OF_SCOPE,non_pharma,Non-pharmacological intervention
29659416,"A Pilot Randomized Controlled Trial of an Intervention to Promote Psychological Well-Being in Critically Ill Children: Soothing Through Touch, Reading, and Music.",OUT_OF_SCOPE,not_mh,Not diagnosed MH condition
32305573,"Electroacupuncture trigeminal nerve stimulation plus body acupuncture for chemotherapy-induced cognitive impairment in breast cancer patients: An assessor-participant blinded, randomized controlled trial.",OUT_OF_SCOPE,not_mh,Not diagnosed MH condition
33323886,A Randomized Controlled Trial of Psychological Intervention to Improve Satisfaction for Patients with Depression Undergoing TKA: A 2-Year Follow-up.,OUT_OF_SCOPE,non_pharma,Non-pharmacological intervention
29076028,"Safety, Tolerability and Pharmacokinetics of Oral BI 425809, a Glycine Transporter 1 Inhibitor, in Healthy Male Volunteers: A Partially Randomised, Single-Blind, Placebo-Controlled, First-in-Human Study.",OUT_OF_SCOPE,non_pharma,Non-pharmacological intervention
30102079,Using antipsychotics for behavioral problems in children.,OUT_OF_SCOPE,not_canadian,No Canadian site/PI identified
31538401,Pilot feasibility study of a home-based fall prevention exercise program (StandingTall) delivered through a tablet computer (iPad) in older people with dementia.,OUT_OF_SCOPE,not_mh,Not diagnosed MH condition
27208498,Brexpiprazole as adjunctive treatment of major depressive disorder with anxious distress: Results from a post-hoc analysis of two randomised controlled trials.,OUT_OF_SCOPE,secondary_analysis,Secondary/post-hoc analysis
30080229,"A Combination of Essential Fatty Acids, Panax Ginseng Extract, and Green Tea Catechins Modifies Brain fMRI Signals in Healthy Older Adults.",OUT_OF_SCOPE,not_mh,Not diagnosed MH condition
33863862,"Research approaches for evaluating opioid sparing in clinical trials of acute and chronic pain treatments: Initiative on Methods, Measurement, and Pain Assessment in Clinical Trials recommendations.",OUT_OF_SCOPE,non_pharma,Non-pharmacological intervention
34318970,Contributors to and consequences of burnout among clinical genetic counselors in the United States.,OUT_OF_SCOPE,non_pharma,Non-pharmacological intervention
31199324,A Web-Based Serious Game for Health to Reduce Perioperative Anxiety and Pain in Children (CliniPup): Pilot Randomized Controlled Trial.,OUT_OF_SCOPE,not_mh,Not diagnosed MH condition
27347792,A quasi-experimental study of a reminiscence program focused on autobiographical memory in institutionalized older adults with cognitive impairment.,OUT_OF_SCOPE,non_pharma,Non-pharmacological intervention
33910159,ISI-3: evaluation of a brief screening tool for insomnia.,OUT_OF_SCOPE,not_rct,No randomized design indicated
26967214,"Efficacy and Safety of ABT-126 in Subjects with Mild-to-Moderate Alzheimer's Disease on Stable Doses of Acetylcholinesterase Inhibitors: A Randomized, Double-Blind, Placebo-Controlled Study.",OUT_OF_SCOPE,not_mh,Not diagnosed MH condition
30451392,Results of a RCT on a Transition Support Program for Adults with ASD: Effects on Self-Determination and Quality of Life.,OUT_OF_SCOPE,non_pharma,Non-pharmacological intervention
29440160,Interventions to increase access to or uptake of physical health screening in people with severe mental illness: a realist review.,OUT_OF_SCOPE,review,Review/meta-analysis/guideline
27497762,Impact of Enzalutamide Compared with Bicalutamide on Quality of Life in Men with Metastatic Castration-resistant Prostate Cancer: Additional Analyses from the TERRAIN Randomised Clinical Trial.,OUT_OF_SCOPE,non_pharma,Non-pharmacological intervention
32769115,Early symptoms in symptomatic and preclinical genetic frontotemporal lobar degeneration.,OUT_OF_SCOPE,not_rct,Not RCT
29486960,"Effects of short-term, high-frequency repetitive transcranial magnetic stimulation to bilateral dorsolateral prefrontal cortex on smoking behavior and cognition in patients with schizophrenia and non-psychiatric controls.",OUT_OF_SCOPE,not_rct,No randomized design indicated
33418362,A simplified 6-Item clinician administered dissociative symptom scale (CADSS-6) for monitoring dissociative effects of sub-anesthetic ketamine infusions.,OUT_OF_SCOPE,not_rct,Not RCT
28549480,Improving the appropriateness of antipsychotic prescribing in nursing homes: a mixed-methods process evaluation of an academic detailing intervention.,OUT_OF_SCOPE,non_pharma,Academic detailing intervention for antipsychotic prescribing in nursing homes; intervention is educational not pharma RCT
28096664,Predictors of outcomes following reablement in community-dwelling older adults.,OUT_OF_SCOPE,not_rct,No randomized design indicated
28680154,The Adverse Effects of Auditory Stress on Mouse Uterus Receptivity and Behaviour.,OUT_OF_SCOPE,animal_study,Animal/preclinical study
28793780,Iatrogenic Opioid Withdrawal in Critically Ill Patients: A Review of Assessment Tools and Management.,OUT_OF_SCOPE,review,Review/meta-analysis/guideline
27801937,Self-Reported Sleep Apnea and Dementia Risk: Findings from the Prevention of Alzheimer's Disease with Vitamin E and Selenium Trial,OUT_OF_SCOPE,not_rct,No randomized design indicated
85046774268,Effectiveness of mindfulness-based colouring for test anxiety in adolescents,OUT_OF_SCOPE,not_mh,Not diagnosed MH condition
30411429,A Comprehensive Review of Dorsomedial Prefrontal Cortex rTMS Utilizing a Double Cone Coil,OUT_OF_SCOPE,review,Review/meta-analysis/guideline
32072586,Defining Efficacy Estimands in Clinical Trials: Examples Illustrating ICH E9(R1) Guidelines,OUT_OF_SCOPE,not_rct,No randomized design indicated
32406699,Development and initial validation of the Queer People of Color Identity Affirmation Scale.,OUT_OF_SCOPE,not_rct,No randomized design indicated
34699540,Effects of cannabis ingestion on endometriosis-associated pelvic pain and related symptoms,OUT_OF_SCOPE,not_rct,Not RCT
34208980,A critical review of the study of neuroprotective diets to reduce cognitive decline,OUT_OF_SCOPE,review,Review/meta-analysis/guideline
33373359,"Associations between arterial stiffening and brain structure, perfusion, and cognition in the Whitehall II imaging sub-study: A retrospective cohort study",OUT_OF_SCOPE,not_rct,Not RCT
34174273,Novel treatments for autism spectrum disorder based on genomics and systems biology,OUT_OF_SCOPE,review,Review/synthesis
34460957,Are there consistent abnormalities in event-related EEG oscillations in patients with Alzheimer’s disease compared to other diseases belonging to dementia?,OUT_OF_SCOPE,review,Review/synthesis
37671673,The endocannabinoid system as a putative target for the development of novel drugs for the treatment of psychiatric illnesses.,OUT_OF_SCOPE,review,Review/synthesis
37530824,Duration of Adjunctive Antidepressant Maintenance in Bipolar I Depression.,MAP,pharma_mh_rct,Adjunctive antidepressant maintenance RCT in bipolar I depression; Yatham (UBC/Canadian PI); escitalopram/bupropion vs placebo; DSM-5 bipolar; 2023
34159838,Face-to-face versus Video Teleconference Group Cognitive Behavioural Therapy for Anxiety and Related Disorders: A Preliminary Comparison.,OUT_OF_SCOPE,non_pharma,Non-pharmacological intervention
33899008,"Effects of a multi-faceted education and support programme on anxiety symptoms among people with systemic sclerosis and anxiety during COVID-19 (SPIN-CHAT): a two-arm parallel, partially nested, randomised, controlled trial.",OUT_OF_SCOPE,non_pharma,Non-pharmacological intervention
34553395,Feasibility of conducting a randomized controlled trial comparing family-based treatment via videoconferencing and online guided self-help family-based treatment for adolescent anorexia nervosa.,OUT_OF_SCOPE,non_pharma,Non-pharmacological intervention
