id,title,final_decision,category,vote_count,conflict_flag,reconciliation_notes
10.1002/pan3.10432,The benefits of citizen science and nature-noticing activities for well-being nature connectedness and pro-nature conservation behaviours,OUT_OF_SCOPE,other_mental_health,3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
10.1016/j.colsurfa.2016.08.059,Understanding the roles of high salinity in inhibiting the molybdenite flotation,OUT_OF_SCOPE,other_mental_health,3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
10.1016/j.tsep.2022.101492,Dynamics of bioconvective Casson nanoliquid from a moving surface capturing gyrotactic microorganisms,OUT_OF_SCOPE,other_mental_health,3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
10.1080/08927936.2017.1335097,The Effects of Group-Administered Canine Therapy on University Students' Wellbeing: A Randomized Controlled Trial,OUT_OF_SCOPE,other_mental_health,3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
10.1162/rest_a_00777,Income shocks and suicides: Causal evidence from Indonesia,OUT_OF_SCOPE,other_mental_health,3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
10.3340/jkns.2018.0180,Magnetic resonance-guided focused ultrasound: Current status and future perspectives in thermal ablation and blood-brain barrier opening,OUT_OF_SCOPE,review,3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
10.3389/fncel.2021.689332,Huntingtin and the Synapse,OUT_OF_SCOPE,review,3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
25666784,Is sex an indicator of prognosis after mild traumatic brain injury,OUT_OF_SCOPE,review,3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
25669746,Amyloid-related imaging abnormalities-haemosiderin (ARIA-H) in patients with Alzheimer's disease treated with bapineuzumab,OUT_OF_SCOPE,dementia,3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
25864773,Assertive Anger Mediates Effects of Dialectical Behaviour-informed Skills Training for Borderline Personality Disorder,OUT_OF_SCOPE,other_mental_health,3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
25999335,Agomelatine or placebo as adjunctive therapy to a mood stabiliser in bipolar I depression: randomised double-blind placebo-controlled trial,MAP,pharmacological_rct_mental,2,N,"Votes: E1=UNCERTAIN, E2=MAP, E3=MAP | Majority (2/3) for MAP"
26482574,Effects of Person-Centered Physical Therapy on Fatigue-Related Variables in Persons With Rheumatoid Arthritis,OUT_OF_SCOPE,other_mental_health,3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
26542272,Cognitive behavioral therapy for insomnia but not armodafinil improves fatigue in cancer survivors with insomnia,OUT_OF_SCOPE,other_mental_health,2,N,"Votes: E1=OUT_OF_SCOPE, E2=UNCERTAIN, E3=OUT_OF_SCOPE | Majority (2/3) for OUT_OF_SCOPE"
26686960,Patient-reported outcomes with anastrozole versus tamoxifen for ductal carcinoma in situ,OUT_OF_SCOPE,other_mental_health,3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
26730716,Varenicline Effects on Smoking Cognition and Psychiatric Symptoms in Schizophrenia: A Double-Blind Randomized Trial,UNCERTAIN,schizophrenia,2,N,"Votes: E1=UNCERTAIN, E2=MAP, E3=UNCERTAIN | Majority (2/3) for UNCERTAIN"
26763501,Change in dysfunctional beliefs about sleep in behavior therapy cognitive therapy and cognitive-behavioral therapy for insomnia,OUT_OF_SCOPE,other_mental_health,3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
26768892,Is Off-label repeat prescription of ketamine as a rapid antidepressant safe? Controversies ethical concerns and legal implications,OUT_OF_SCOPE,review,3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
26771737,Heterogeneity of treatment response to citalopram for patients with Alzheimer's disease with aggression or agitation: The CitAD randomized clinical trial,MAP,dementia,3,N,"Votes: E1=MAP, E2=MAP, E3=MAP | Unanimous agreement"
26784863,Acupuncture for menopausal hot flashes,OUT_OF_SCOPE,other_mental_health,3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
26787360,Managing Cancer And Living Meaningfully (CALM): randomised feasibility trial in patients with advanced cancer,OUT_OF_SCOPE,depression,3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
26825862,Is Hearing Loss Associated with Poorer Health in Older Adults Who Might Benefit from Hearing Screening?,OUT_OF_SCOPE,other_mental_health,3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
26865523,Recommendations for observational studies of comorbidity in multiple sclerosis,OUT_OF_SCOPE,review,3,N,"Votes: E1=OUT_OF_SCOPE, E2=OUT_OF_SCOPE, E3=OUT_OF_SCOPE | Unanimous agreement"
