batch,id,title,original_decision,qa_decision,category,notes
1,26580307,Efficacy of Bright Light Treatment Fluoxetine and the Combination in Patients With Nonseasonal Major Depressive Disorder,MAP,CONFIRMED,depression,"RCT of fluoxetine vs light vs combination vs placebo for MDD; Canadian PIs (Lam, Levitt, Levitan at UBC/U Toronto); published 2016; main trial results"
1,27049826,Hydromorphone Compared With Diacetylmorphine for Long-term Opioid Dependence,MAP,CONFIRMED,substance_use,"Phase 3 RCT; pharmacological (hydromorphone vs diacetylmorphine) for opioid use disorder; Vancouver BC Canada site; published 2016; main trial results (SALOME trial)"
1,30654643,Olanzapine Versus Placebo in Adult Outpatients With Anorexia Nervosa,MAP,DOWNGRADE_TO_UNCERTAIN,eating_disorder,"RCT of olanzapine for anorexia nervosa at 5 North American sites; Canadian site (Allan Kaplan listed) plausible but not explicitly confirmed in abstract; need full text to verify Canadian recruitment site"
1,30922101,Single repeated and maintenance ketamine infusions for treatment-resistant depression,MAP,CONFIRMED,depression,"RCT (crossover then open-label); ketamine for TRD; single Canadian site (Ottawa); Phillips/Blier are Canadian PIs; published 2019; main trial results"
1,31066887,Efficacy of Adjunctive Infliximab vs Placebo in the Treatment of Adults With Bipolar I/II Depression,MAP,CONFIRMED,bipolar_mood,"RCT of infliximab for bipolar depression; 2 sites in Canada and US; Canadian PI (McIntyre); published 2019; main trial results"
2,31182351,Randomized Placebo-Controlled Trial of Nabilone for Agitation in Alzheimer's Disease.,MAP,CONFIRMED,dementia,"RCT (crossover) of nabilone for agitation in AD; Canadian sites (Herrmann/Lanctot at Sunnybrook Toronto); published 2019; main trial results"
3,27556593,Metformin for Treatment of Overweight Induced by Atypical Antipsychotic Medication in Young People With Autism Spectrum Disorder,MAP,RECLASSIFY_TO_OUT_OF_SCOPE,other_mental_health,"Pharmacological intervention (metformin) targets antipsychotic-induced weight gain NOT a mental disorder itself; ASD is the underlying condition but metformin is not treating ASD; excludes per criterion 3"
3,31759333,Single and repeated ketamine infusions for reduction of suicidal ideation in treatment-resistant depression.,MAP,RECLASSIFY_TO_OUT_OF_SCOPE,depression,"SECONDARY ANALYSIS of PMID 30922101 (the ketamine RCT); explicitly states 'secondary analysis' examining SI outcomes from the parent trial; excludes per criterion 5"
3,34570180,Effect of Methylphenidate on Apathy in Patients With Alzheimer Disease: The ADMET 2 Randomized Clinical Trial.,MAP,CONFIRMED,dementia,"RCT of methylphenidate for apathy in AD; 9 US + 1 Canadian site; published 2021; main trial results (ADMET 2)"
4,31429896,Effect of Continuing Olanzapine vs Placebo on Relapse Among Patients With Psychotic Depression in Remission: The STOP-PD II,MAP,DOWNGRADE_TO_UNCERTAIN,psychotic,"RCT of olanzapine continuation for psychotic depression; 4 academic medical centers; Mulsant (Toronto) is co-PI suggesting Canadian site but abstract does not explicitly name Canadian recruitment; need full text"
4,32639561,Effectiveness of Sequential Psychological and Medication Therapies for Insomnia Disorder,MAP,CONFIRMED,other_mental_health,"SMART RCT of BT and zolpidem sequences for insomnia disorder; Universite Laval Quebec City Canada is explicit site; published 2020; main trial results"
4,35120288,Treating Insulin Resistance With Metformin as a Strategy to Improve Clinical Outcomes in Treatment-Resistant Bipolar Depression (TRIO-BD),MAP,CONFIRMED,bipolar_mood,"RCT of metformin for TRBD (targeting depression via insulin resistance reversal); 2-site trial; Canadian PI (Calkin at Dalhousie); published 2022; main trial results"
4,37902726,Exploratory Tau Biomarker Results From a Multiple Ascending-Dose Study of BIIB080 in Alzheimer Disease.,MAP,RECLASSIFY_TO_OUT_OF_SCOPE,dementia,"Phase 1b dose-finding study with biomarker endpoints (CSF tau and tau PET); not a main efficacy trial for clinical outcomes; 12 sites in Canada and Europe; phase 1b exploratory biomarker study is not main trial results per criterion 5"
5,25999335,Agomelatine or placebo as adjunctive therapy to a mood stabiliser in bipolar I depression,MAP,DOWNGRADE_TO_UNCERTAIN,bipolar_mood,"RCT of agomelatine for bipolar depression; multinational (Agomelatine Study Group); abstract does not specify Canadian sites; Yatham (UBC) is first author but Canadian co-author alone is NOT sufficient per criterion 4; need full text to verify"
5,26771737,Heterogeneity of treatment response to citalopram for patients with Alzheimer's disease with aggression or agitation: The CitAD,MAP,RECLASSIFY_TO_OUT_OF_SCOPE,dementia,"SECONDARY ANALYSIS of the CitAD trial assessing heterogeneity of response and predictors; the main CitAD trial was published earlier; this is a post-hoc subgroup analysis; excludes per criterion 5"
5,28185899,Lurasidone versus treatment as usual for cognitive impairment in euthymic patients with bipolar I disorder,MAP,CONFIRMED,bipolar_mood,"RCT of lurasidone for cognitive impairment in euthymic bipolar I; UBC Hospital Vancouver Canada; Yatham PI; published 2017; main trial (pilot) results"
5,32380271,Efficacy of adjunctive infliximab vs placebo in the treatment of anhedonia in bipolar I/II depression,MAP,RECLASSIFY_TO_OUT_OF_SCOPE,bipolar_mood,"SECONDARY ANALYSIS of the infliximab bipolar depression trial (PMID 31066887); explicitly states 'secondary analysis' with anhedonia (SHAPS) as outcome; excludes per criterion 5"
5,38359838,Psilocybin-assisted psychotherapy for treatment resistant depression,MAP,CONFIRMED,depression,"RCT of psilocybin-assisted psychotherapy for TRD; Canadian PI (Rosenblat at U Toronto); published 2024; main trial results"
6,28061017,Feasibility and safety of extended-release naltrexone treatment of opioid and alcohol use disorder in HIV clinics,MAP,CONFIRMED,substance_use,"RCT of XR-naltrexone for OUD/AUD in HIV clinics; Vancouver BC Canada is explicit site; published 2017; main trial results (pilot/feasibility)"
6,32268604,Extracellular Vesicle Biomarkers Reveal Inhibition of Neuroinflammation by Infliximab in Association with Antidepressant Response in Adults with Bipolar Depression,MAP,RECLASSIFY_TO_OUT_OF_SCOPE,bipolar_mood,"SECONDARY ANALYSIS of the infliximab bipolar depression trial (PMID 31066887); biomarker mechanistic study using NEVs from parent trial samples; excludes per criterion 5"
6,34303786,Micronutrients for ADHD in Youths (MADDY),MAP,DOWNGRADE_TO_UNCERTAIN,ADHD,"RCT of micronutrients (vitamins/minerals) for ADHD; 3 sites in North America; micronutrients may not qualify as pharmacological intervention per strict definition; need full text to verify if any Canadian site"
6,36223114,Efficacy of Adjunctive D-Cycloserine to Intermittent Theta-Burst Stimulation for Major Depressive Disorder,MAP,CONFIRMED,depression,"RCT of D-cycloserine adjunct to iTBS for MDD; single Canadian site (McGirr at U Calgary); published 2022; main trial results"
7,27284082,Methylene blue treatment for residual symptoms of bipolar disorder: randomised crossover study.,MAP,CONFIRMED,bipolar_mood,"RCT (crossover) of methylene blue for bipolar disorder residual symptoms; Canadian PIs (Alda at Dalhousie; MacQueen at Calgary); published 2017; main trial results"
7,26460229,Optimal duration of risperidone or olanzapine adjunctive therapy to mood stabilizer following remission of a manic episode: A CANMAT randomized double-blind trial.,MAP,CONFIRMED,bipolar_mood,"CANMAT RCT of risperidone/olanzapine duration for bipolar I; Canadian multisite trial (CANMAT = Canadian Network); published 2016; main trial results"
7,28013123,A randomized double-blind placebo-controlled crossover trial evaluating the effect of intranasal insulin on cognition and mood in individuals with treatment-resistant major depressive disorder.,MAP,CONFIRMED,depression,"RCT (crossover) of intranasal insulin for TRD; Canadian PIs (McIntyre at U Toronto; MacQueen at Calgary; Kennedy at U Toronto); published 2017; main trial results"
7,29666372,Brain serotonin synthesis capacity in obsessive-compulsive disorder: effects of cognitive behavioral therapy and sertraline.,MAP,DOWNGRADE_TO_UNCERTAIN,anxiety_trauma_ocd,"RCT of CBT vs sertraline for OCD with PET imaging; small sample (n=16); abstract does not clearly state Canadian recruitment sites; Benkelfat/Leyton at McGill suggests Canada but need verification; also primary intervention may be CBT not pharma"
7,31147244,Optimizing Outcomes of Treatment-Resistant Depression in Older Adults (OPTIMUM).,MAP,RECLASSIFY_TO_OUT_OF_SCOPE,depression,"This is a STUDY DESIGN/METHODS paper describing the first 396 participants; not main trial results; explicitly describes methodology and enrollment challenges; excludes per criterion 5 (protocol/design paper)"
7,32349118,The association between lithium use and neurocognitive performance in patients with bipolar disorder.,MAP,RECLASSIFY_TO_OUT_OF_SCOPE,bipolar_mood,"SECONDARY ANALYSIS from a multi-site clinical trial of lithium monotherapy; cross-sectional and longitudinal analysis of neurocognitive outcomes; not the main trial results publication; excludes per criterion 5"
7,28068779,Norepinephrine transporter gene variants and remission from depression with venlafaxine treatment in older adults,MAP,RECLASSIFY_TO_OUT_OF_SCOPE,depression,"SECONDARY ANALYSIS (pharmacogenomic) from a three-site clinical trial of venlafaxine; analyzing genetic predictors of remission; not main trial results; excludes per criterion 5"
7,32312344,The network structure of core depressive symptom-domains in MDD following antidepressant treatment: a randomized clinical trial.,MAP,DOWNGRADE_TO_UNCERTAIN,depression,"Network analysis of depressive symptoms from an RCT of escitalopram vs desvenlafaxine; Canadian PI (Berlim/Turecki at McGill); may be secondary analysis of symptom structure rather than main efficacy results; need full text"
7,30755255,Evaluation of BI 409306 a novel phosphodiesterase type 9 inhibitor in two phase II studies in prodromal and mild Alzheimer's disease.,MAP,DOWNGRADE_TO_UNCERTAIN,dementia,"Phase II RCT of BI 409306 for prodromal/mild AD; multinational (North America/Europe); abstract does not specify Canadian sites; need full text to confirm Canadian recruitment"
7,26482056,A Randomized Placebo-Controlled Discontinuation Study of Cholinesterase Inhibitors in Institutionalized Patients With Moderate to Severe Alzheimer Disease.,MAP,CONFIRMED,dementia,"RCT of ChEI discontinuation in institutionalized AD patients; Canadian PIs (Herrmann/Lanctot at Sunnybrook Toronto); published 2016; main trial results"
7,26974214,Factors associated with relapse in schizophrenia despite adherence to long-acting injectable antipsychotic therapy.,MAP,RECLASSIFY_TO_OUT_OF_SCOPE,schizophrenia,"POST-HOC exploratory analysis of a risperidone LAI trial (NCT00297388); analyzing predictors of relapse; not main trial results; excludes per criterion 5"
7,29777003,Impact of Reference and Target Region Selection on Amyloid PET SUV Ratios in the Phase 1b PRIME Study of Aducanumab.,MAP,RECLASSIFY_TO_OUT_OF_SCOPE,dementia,"METHODOLOGICAL/SECONDARY ANALYSIS of PET imaging from the PRIME phase 1b aducanumab trial; not main trial results; biomarker methodology paper; excludes per criterion 5"
8,30565793,Donepezil for gait and falls in mild cognitive impairment: a randomized controlled trial.,MAP,DOWNGRADE_TO_UNCERTAIN,dementia,"RCT of donepezil for gait/falls in MCI; Canadian PIs (Montero-Odasso/Chertkow/Borrie); pharmacological intervention but targeting gait/falls NOT a mental disorder; MCI is not a diagnosed mental disorder per DSM-5/ICD criteria; may exclude per criteria 2 and 3"
8,33316649,Exploring brain insulin resistance in adults with bipolar depression using extracellular vesicles of neuronal origin.,MAP,RECLASSIFY_TO_OUT_OF_SCOPE,bipolar_mood,"SECONDARY ANALYSIS of the infliximab bipolar depression trial (PMID 31066887); biomarker mechanistic study of insulin signaling using NEVs; not main trial results; excludes per criterion 5"
9,28942807,A Randomized Placebo-Controlled Trial of Metformin for the Treatment of Overweight Induced by Antipsychotic Medication in Young People With Autism Spectrum Disorder: Open-Label Extension.,MAP,RECLASSIFY_TO_OUT_OF_SCOPE,other_mental_health,"OPEN-LABEL EXTENSION of PMID 27556593 metformin trial; not main trial results (extension study); also metformin targets weight gain not a mental disorder; excludes per criteria 3 and 5"
9,29689693,Vortioxetine improves symptomatic and functional outcomes in major depressive disorder.,MAP,DOWNGRADE_TO_UNCERTAIN,depression,"Post-hoc analysis of a multinational RCT (NCT01564862) of vortioxetine for MDD using novel dual outcome measure; abstract states 'this analysis evaluated'; likely secondary analysis; multinational trial with no explicit Canadian sites mentioned; need full text"
9,30684794,A randomized comparison of long acting methylphenidate and cognitive behavioral therapy in the treatment of binge eating disorder.,MAP,CONFIRMED,eating_disorder,"RCT of methylphenidate vs CBT for BED; Canadian PI (Quilty/Kaplan at CAMH Toronto); published 2019; main trial results"
9,31682328,Comorbid anxiety in late-life depression: Relationship with remission and suicidal ideation on venlafaxine treatment.,MAP,RECLASSIFY_TO_OUT_OF_SCOPE,depression,"SECONDARY ANALYSIS from a multisite clinical trial of venlafaxine in older adults; analyzing comorbid anxiety as predictor; Mulsant (Toronto) is co-author but this is secondary analysis; excludes per criterion 5"
9,33658605,Peripheral inflammatory biomarkers define biotypes of bipolar depression.,MAP,RECLASSIFY_TO_OUT_OF_SCOPE,bipolar_mood,"SECONDARY ANALYSIS of the infliximab bipolar depression trial (PMID 31066887); machine learning biotype analysis of cytokine data; not main trial results; excludes per criterion 5"
