id,title,final_decision,category,vote_count,conflict_flag,reconciliation_notes
10.1002/trc2.12005,TRanscranial AlterNating current Stimulation FOR patients with Mild Alzheimer's Disease (TRANSFORM-AD study): Protocol for a randomized controlled clinical trial,OUT_OF_SCOPE,Protocol; Non-pharmacological,OUT_OF_SCOPE:3/3,none,unanimous
10.1017/s1754470x1900028x,Cultural adaptation of cognitive behavioural therapy (CBT) for patients with depression and anxiety in Saudi Arabia and Bahrain,OUT_OF_SCOPE,Non-pharmacological; Non-Canadian,OUT_OF_SCOPE:3/3,none,unanimous
10.1037/cbs0000247,Mandatory Reporting and Clinician Decision-Making When a Client Discloses Sexual Interest in Children,OUT_OF_SCOPE,Observational,OUT_OF_SCOPE:3/3,none,unanimous
10.1080/00934690.2017.1417198,Contours of the Past: LiDAR Data Expands the Limits of Late Pre-Columbian Human Settlement in the Santarem Region Lower Amazon,OUT_OF_SCOPE,Non-mental-health,OUT_OF_SCOPE:3/3,none,unanimous
10.1080/15332985.2018.1476284,Cognitive behavioral interventions for depression among Hispanic people: promising meta-analytic evidence for deep cultural adaptations,OUT_OF_SCOPE,Review,OUT_OF_SCOPE:3/3,none,unanimous
10.3390/brainsci13020306,Dual Semi-Supervised Learning for Classification of Alzheimer's Disease and Mild Cognitive Impairment Based on Neuropsychological Data,OUT_OF_SCOPE,Observational; Non-mental-health,OUT_OF_SCOPE:3/3,none,unanimous
23773886,An exploratory open-label randomized trial comparing Risperidone long-Acting Injectable with oral antipsychotic medication in the treatment of early psychosis,MAP,Pharmacological; Schizophrenia,MAP:3/3,none,unanimous
26221049,Dopamine D2/3 Receptor Occupancy Following Dose Reduction Is Predictable With Minimal Plasma Antipsychotic Concentrations,MAP,Pharmacological; Schizophrenia,MAP:3/3,none,unanimous
26509816,Patterns of Sedation Weaning in Critically Ill Children Recovering From Acute Respiratory Failure,OUT_OF_SCOPE,Observational,OUT_OF_SCOPE:3/3,none,unanimous
27172829,Predicting disease progression in progressive supranuclear palsy in multicenter clinical trials.,OUT_OF_SCOPE,Non-mental-health,OUT_OF_SCOPE:3/3,none,unanimous
27244298,The pediatric sleep clinical global impressions scale - A new tool to measure pediatric insomnia in autism spectrum disorders,OUT_OF_SCOPE,Non-pharmacological,OUT_OF_SCOPE:3/3,none,unanimous
27267317,Could cannabidiol be used as an alternative to antipsychotics?,OUT_OF_SCOPE,Review,OUT_OF_SCOPE:3/3,none,unanimous
27280963,The effects of desvenlafaxine on neurocognitive and work functioning in employed outpatients with major depressive disorder.,MAP,Pharmacological; MDD,MAP:2/3;UNCERTAIN:1/3,minor,majority MAP (2/3); dissent: UNCERTAIN
27390257,Outcome Expectations and Osteoarthritis: Association of Perceived Benefits of Exercise With Self-Efficacy and Depression.,OUT_OF_SCOPE,Observational; Non-mental-health,OUT_OF_SCOPE:3/3,none,unanimous
27428009,Cannabinoids for fibromyalgia,OUT_OF_SCOPE,Review; Non-mental-health,OUT_OF_SCOPE:3/3,none,unanimous
27444389,Exhaust ventilation in attached garages improves residential indoor air quality.,OUT_OF_SCOPE,Non-mental-health,OUT_OF_SCOPE:3/3,none,unanimous
27452837,Anodal tDCS targeting the left temporo-parietal junction disrupts verbal reality-monitoring.,OUT_OF_SCOPE,Non-pharmacological,OUT_OF_SCOPE:3/3,none,unanimous
27471879,The effects of a pedometer-based intervention on first-year university students: A randomized control trial.,OUT_OF_SCOPE,Non-pharmacological,OUT_OF_SCOPE:3/3,none,unanimous
27523508,Psychometric properties of Alzheimer's disease assessment scale-cognitive subscale for mild cognitive impairment and Mild Alzheimer's disease patients in an Asian context,OUT_OF_SCOPE,Observational; Non-Canadian,OUT_OF_SCOPE:3/3,none,unanimous
