"id","title","decision","category","confidence","notes"
"31264101","Moderators of Cognitive Therapy and Bright Light Therapy Effects on Depressive Symptoms in Patients with Breast Cancer.","OUT_OF_SCOPE","non_pharmacological","high","Secondary analysis of RCT; interventions are cognitive therapy and bright light therapy (non-pharmacological); Canada-based but no drug intervention"
"34195472","The CADENCE pilot trial - Promoting physical activity in bladder cancer survivors: A protocol paper.","OUT_OF_SCOPE","non_pharmacological","high","Protocol for physical activity RCT in bladder cancer; non-pharmacological; UK-based; not mental disorder"
"35223096","Effectiveness of Positive Psychotherapy on Depression and Alexithymia in Women Applying for a Divorce.","OUT_OF_SCOPE","non_pharmacological","high","Positive psychotherapy (non-pharmacological) RCT for depression; conducted in Iran; no Canadian site"
"33173513","Group Cognitive Behavioral Analysis System of Psychotherapy (CBASP): A Pilot Study for Bipolar Depression.","OUT_OF_SCOPE","non_pharmacological","high","Non-randomized pilot of group psychotherapy for bipolar depression; non-pharmacological; Montreal-based but not an RCT and no drug"
"32528599","""Use of low-dose acetylsalicylic acid for cardiovascular disease prevention: A practical, stepwise approach for pharmacists.""","OUT_OF_SCOPE","not_mental_disorder","high","Review/algorithm for ASA use in cardiovascular prevention; not a clinical trial; not mental disorder"
"33241185","Diarrhea-Predominant Irritable Bowel Syndrome: Medical Management Update.","OUT_OF_SCOPE","not_mental_disorder","high","Review of IBS-D treatments; not an RCT; not a mental disorder"
"35939096","The late onset of emotional distress in people with progressive multiple sclerosis during the Covid-19 pandemic.","OUT_OF_SCOPE","non_pharmacological","high","Ancillary longitudinal follow-up of CogEx RCT (exercise/cognitive rehab for MS); non-pharmacological intervention; not primarily mental disorder trial"
"36042635","Integrative medicine in patients with degenerative arthritis of the knee: A pilot randomized control study.","OUT_OF_SCOPE","not_mental_disorder","high","Pilot RCT of integrative medicine for knee arthritis; not mental disorder; not Canadian"
"33740751","The SPIKES protocol does not influence the tolerance or effectiveness of intra-articular corticosteroid injection in the knees of osteoarthritis patients.","OUT_OF_SCOPE","not_mental_disorder","high","RCT of user embracement protocol for knee OA injection; not mental disorder; not Canadian"
"36924611","Intensive Short-Term Dynamic Psychotherapy (ISTDP) associated with healthcare reductions in patients with functional seizures.","OUT_OF_SCOPE","non_pharmacological","high","Case series of psychotherapy for functional seizures; non-pharmacological; not RCT; Canadian but no drug"
"32333590","The Efficacy of COGnitive tRaining in patiEnts with Amnestic mild coGnitive impairmENT (COG-REAGENT): Protocol.","OUT_OF_SCOPE","non_pharmacological","high","Protocol for cognitive training RCT in aMCI; non-pharmacological; China-based"
"33892682","The efficacy of a targeted PREVENTION programme for addictive behaviour (PREVENTURE) among vulnerable ADOlescents in France.","OUT_OF_SCOPE","non_pharmacological","high","Protocol for personality-targeted prevention program (non-pharmacological) for adolescent substance use; France-based"
"32567789","Patient satisfaction with random assignment to extended early intervention for psychosis vs regular care.","UNCERTAIN","uncertain_canada_pharma","medium","Canadian RCT (Montreal) of extended early intervention for psychosis; psychosis is mental disorder; but intervention is service model (extended EI) not specifically pharmacological"
"35282746","Clinical electrophysiology of the aging heart.","OUT_OF_SCOPE","not_mental_disorder","high","Review of arrhythmia management in elderly; not an RCT; not mental disorder"
"35128035","The efficacy of mindfulness-based cognitive therapy to improve depression symptoms and quality of life in individuals with memory difficulties and caregivers.","OUT_OF_SCOPE","non_pharmacological","high","RCT of MBCT (non-pharmacological) for depression in memory difficulty/caregivers; Canadian but no drug intervention"
"36247911","Aggression Towards Caregivers in Parkinson's Disease and Related Disorders: A Mixed Methods Study.","OUT_OF_SCOPE","not_rct","high","Mixed methods study (not RCT) of aggression in Parkinson's; clinical trial of palliative care but not pharmacological for mental disorder"
"28598899","Long-term function and psychosocial outcomes with venlafaxine extended release 75-225 mg/day versus placebo in the PREVENT study.","UNCERTAIN","uncertain_canada","medium","Post-hoc analysis of RCT of venlafaxine ER for recurrent MDD; pharmacological for mental disorder; multi-center but unclear if Canadian site; published 2017"
"33855243","Loss-related mental states impair executive functions in a context of sadness.","OUT_OF_SCOPE","not_rct","high","Experimental psychology study (random assignment to read articles); not a clinical trial for mental disorder; not pharmacological"
"33556279","Should You Recommend Cannabinoids for This Patient With Painful Neuropathy?","OUT_OF_SCOPE","not_rct","high","Grand rounds discussion/review of cannabinoids for neuropathic pain; not an RCT; not mental disorder"
"28841070","Challenges in Using the Randomized Trial Design to Examine the Influence of Treatment Preferences.","OUT_OF_SCOPE","non_pharmacological","high","Methodological study/secondary analysis of behavioral therapy RCTs for insomnia; Canadian but non-pharmacological interventions"
"34306415","The effects of family follow-up nursing on elderly cognitive impairment patients' Barthel index scores and mental statuses.","OUT_OF_SCOPE","non_pharmacological","high","RCT of family follow-up nursing (non-pharmacological) for dementia; not Canadian"
"29668328","Use of Placebo in Clinical Trials of Psychotropic Medication.","OUT_OF_SCOPE","not_rct","high","Position paper on placebo use in psychotropic trials; Canadian Psychiatric Association but not an RCT"
"36427239","Identifying Personality Characteristics and Indicators of Psychological Well-Being Associated With Attrition in a Physical Activity Intervention.","OUT_OF_SCOPE","non_pharmacological","high","Secondary analysis of physical activity intervention RCT; non-pharmacological; Finland-based"
"31753138","Geriatric pharmacotherapy: Appraising new drugs for neurologic disorders in older patients.","OUT_OF_SCOPE","not_rct","high","Book chapter/review on geriatric pharmacotherapy; not an RCT"
"35923447","Symptom severity is associated with leftward lateralization upon contextual modulation of visual vertical in patients with schizophrenia.","OUT_OF_SCOPE","not_rct","high","Cross-sectional study of visual perception in schizophrenia; not an RCT; not pharmacological"
"31256024","Evidence available for patient-identified priorities in depression research: results of 11 rapid responses.","OUT_OF_SCOPE","not_rct","high","Rapid review of depression research priorities; not an RCT; Canadian but not a trial"
"30091274","Antinociception by intrathecal delivery of the novel non-opioid 1-amino-1-cyclobutanecarboxylic acid.","OUT_OF_SCOPE","animal_study","high","Animal study (mouse model) of intrathecal analgesic; Canadian but not human RCT; not mental disorder"
"28629514","Erythropoietin-Mediated Regulation of Central Respiratory Command.","OUT_OF_SCOPE","not_rct","high","Review of erythropoietin in respiratory regulation; not an RCT; not mental disorder"
"30791795","""Cost-effectiveness of a free drug program for schizophrenia in Beijing, China.""","OUT_OF_SCOPE","not_rct","high","Cross-sectional cost-effectiveness study of free drug program for schizophrenia; China-based; not an RCT"
"","Informed consent: Procedures ethics and best practices","OUT_OF_SCOPE","not_rct","high","Book on informed consent; not an RCT; not a clinical study"
"","Does altitude level of a prior time-trial modify subsequent exercise performance in hypoxia?","OUT_OF_SCOPE","not_mental_disorder","high","Exercise physiology study; not mental disorder; not pharmacological"
"","A parallel group randomised open blinded evaluation of Acceptance and Commitment Therapy for Depression After Psychosis: A Pilot Trial Protocol (ADAPT)","OUT_OF_SCOPE","non_pharmacological","medium","Protocol for ACT (psychotherapy) RCT for depression in schizophrenia; non-pharmacological; UK-based"
"","""Schizophrenia, Other Psychotic Disorders, and Suicidal Behavior""","OUT_OF_SCOPE","not_rct","high","Book chapter on schizophrenia and suicide; not an RCT"
"","""Erratum to: Psychosis in Parkinson's Disease""","OUT_OF_SCOPE","not_rct","high","Erratum/correction notice; not an RCT"
"","Recovery monitoring for substance use treatment in Ontario: Outcome results from a feasibility assessment","OUT_OF_SCOPE","not_rct","high","Prospective feasibility assessment of outcome monitoring in substance use treatment; not an RCT; Canadian but observational"
"28677828","Vortioxetine for depression in adults","OUT_OF_SCOPE","systematic_review","high","Cochrane systematic review of vortioxetine RCTs; not a primary RCT"
"","""Clinical therapy of Di-Huang-Yi-Zhi in treating patients with amnestic mild cognitive impairment""","OUT_OF_SCOPE","not_mental_disorder","high","Open-label RCT of traditional Chinese medicine for aMCI; China-based; aMCI not a diagnosed mental disorder per DSM; not Canadian"
"","Acute Effects of a Single-Dose Nutritional Product on Stress Response and Task Completion in Horses","OUT_OF_SCOPE","animal_study","high","Animal study (horses); not human; not mental disorder"
"","Post-marketing observational program of the effectiveness of fluvoxamine for depression in patients with neurological disorders","OUT_OF_SCOPE","not_rct","high","Non-blinded uncontrolled observational study of fluvoxamine; not an RCT; Russia-based"
"28186076","Multi-EMR structured data entry form: User-acceptance testing of a prototype","OUT_OF_SCOPE","not_rct","high","Technology prototype user acceptance study; not an RCT; not mental disorder"
"","Clinical meaningfulness of biomarker endpoints in Alzheimer's disease research","OUT_OF_SCOPE","not_rct","high","Book chapter on AD biomarkers; not an RCT"
"","Comparing the impact of atropine drops and amitriptyline tablets in treatment of clozapine-induced sialorrhea","UNCERTAIN","uncertain_canada","medium","Double-blind RCT of atropine vs amitriptyline for clozapine-induced sialorrhea in psychotic disorders; pharmacological in patients with psychotic disorders; Iran-based - no Canadian site"
