batch,id,title,original_decision,qa_decision,category,notes
14,23773886,An exploratory open-label randomized trial comparing Risperidone long-Acting Injectable with oral antipsychotic medication in the treatment of early psychosis,MAP,MAP,Pharmacological; Schizophrenia,"RCT (randomized); schizophrenia spectrum (DSM); risperidone LAI vs oral SGAs (pharma); Canadian (Malla, Chue, Stip - Canadian PIs); 2016; English. Meets all criteria."
14,26221049,Dopamine D2/3 Receptor Occupancy Following Dose Reduction Is Predictable With Minimal Plasma Antipsychotic Concentrations,MAP,EXCLUDE,Pharmacological; Schizophrenia,"Not a traditional RCT - open-label dose reduction PK/PD study measuring receptor occupancy. No randomized comparison groups for clinical outcomes. This is a pharmacokinetic/pharmacodynamic study, not a clinical efficacy RCT. Fails criterion 1."
14,27280963,The effects of desvenlafaxine on neurocognitive and work functioning in employed outpatients with major depressive disorder.,MAP,EXCLUDE,Pharmacological; MDD,"Open-label single-arm study (n=36) of desvenlafaxine. No randomization, no control group. Not an RCT. Fails criterion 1."
14,27756854,The Time Course of Effect of Multilayer-Release Methylphenidate Hydrochloride Capsules: A Randomized Double-Blind Study of Adults With ADHD,MAP,EXCLUDE,Pharmacological; ADHD,"RCT; ADHD (DSM); methylphenidate (pharma); however authors are Wigal SB, Wigal T, Childress A, Donnelly GAE, Reiz JL - these are US-based investigators. No Canadian site or PI evident. Published 2020. Fails criterion 4 (non-Canadian)."
14,28500373,Effects of varenicline versus transdermal nicotine replacement therapy on cigarette demand on quit day in individuals with substance use disorders,MAP,EXCLUDE,Pharmacological; Substance use disorder,"RCT; substance use disorders; varenicline vs NRT (pharma); but authors Murphy CM, MacKillop J, Martin RA, Tidey JW, Colby SM, Rohsenow DJ - US-based researchers at Brown University. MacKillop later moved to McMaster but this study is US-based. Also, smoking cessation pharma - the MH condition is SUD but the target of treatment is smoking, not the SUD mental health condition per se. Fails criterion 4 (non-Canadian)."
14,32670103,The THINC-it Tool for Cognitive Assessment and Measurement in Major Depressive Disorder: Sensitivity to Change.,MAP,EXCLUDE,Pharmacological; MDD,"Open-label single-arm study of vortioxetine to validate THINC-it cognitive tool. No randomization, no control group. This is a tool validation study, not an RCT. Fails criterion 1."
14,35151410,Efficacy and safety of balovaptan for socialisation and communication difficulties in autistic adults in North America and Europe,MAP,MAP,Pharmacological; ASD,"Phase 3 RCT; ASD (DSM-5); balovaptan vs placebo (pharma); Canada is one of 6 countries with sites, Anagnostou E (Canadian PI); 2022; English. ASD is a DSM-5 diagnosis. Meets all criteria."
14,37227402,Head-To-Head Comparison of Vortioxetine Versus Desvenlafaxine in Patients With Major Depressive Disorder With Partial Response to SSRI Therapy: Results of the VIVRE Study.,MAP,MAP,Pharmacological; MDD,"RCT (randomized double-blind active-controlled); MDD (DSM-5); vortioxetine vs desvenlafaxine (pharma); Canadian PI (McIntyre RS, University of Toronto); 2023; English. Main results of VIVRE study. Meets all criteria."
15,27895238,Combined Modality Intervention for ADHD With Comorbid Reading Disorders: A Proof of Concept Study.,MAP,MAP,Canadian Pharma MH RCT,"RCT; ADHD+reading disorder (DSM); methylphenidate vs placebo (pharma); Canadian (Tannock, Ickowicz - SickKids/Toronto); 2018; English. Meets all criteria."
15,31338476,Investigating the safety and efficacy of nabilone for the treatment of agitation in patients with moderate-to-severe Alzheimer's disease.,MAP,EXCLUDE,Canadian Pharma MH RCT,"This is a STUDY PROTOCOL, not main results. Abstract describes the design of a cross-over RCT but does not report results. Fails exclusion criterion (protocol without results)."
15,31382932,Cost-effectiveness analysis of a randomized study of depression treatment options in primary care suggests stepped-care treatment may have economic benefits.,MAP,EXCLUDE,Pharmacological RCT,"This is a cost-effectiveness/economic analysis of a previously published RCT. The stepped-care pathway includes non-pharmacological treatments (online CBT, TAU). The primary intervention is a care pathway model, not a specific pharmacotherapy. Also a secondary economic analysis. Fails criterion 3 (non-pharma primary intervention) and exclusion criterion (secondary analysis)."
15,34034067,The effect of intravenous ketamine on cognitive functions in adults with treatment-resistant major depressive or bipolar disorders.,MAP,EXCLUDE,Canadian Pharma MH RCT,Retrospective study from the Canadian Rapid Treatment Center of Excellence. No randomization - this is a retrospective analysis of patients who received IV ketamine in clinical practice (NCT04209296 is a registry). Not an RCT. Fails criterion 1.
15,34130243,D-cycloserine normalizes long-term motor plasticity after transcranial magnetic intermittent theta-burst stimulation in major depressive disorder.,MAP,EXCLUDE,Canadian Pharma MH RCT,"Randomized crossover study using D-cycloserine + TMS to measure motor evoked potentials (motor cortex plasticity). n=12 MDD, n=12 healthy. The primary intervention is neuromodulation (TMS/iTBS) and D-cycloserine is used to test NMDA receptor involvement in motor plasticity. The outcome is motor cortex plasticity (MEPs), not MH symptom improvement. This is a mechanistic neuroscience study, not a pharmacotherapy RCT targeting MH outcomes. Fails criterion 3."
15,38280392,Safety and efficacy of laquinimod for Huntington's disease (LEGATO-HD).,MAP,EXCLUDE,Canadian Pharma MH RCT,"RCT; laquinimod vs placebo; Canada is one of 10 countries; 2024; English. However, Huntington's disease is a neurodegenerative movement disorder, not a DSM-5 mental health diagnosis. The primary outcome is motor function (UHDRS-TMS) and caudate volume. Fails criterion 2 (not a diagnosed MH condition per DSM-5)."
15,39476073,Slowing Cognitive Decline in Major Depressive Disorder and Mild Cognitive Impairment: A Randomized Clinical Trial.,MAP,EXCLUDE,Canadian Pharma MH RCT,"RCT; MDD/MCI; Canadian (5 hospitals in Toronto); 2025; English. However, the intervention is cognitive remediation (CR) plus transcranial direct current stimulation (tDCS) - neither is pharmacotherapy. CR is a behavioral intervention and tDCS is neuromodulation. Fails criterion 3 (non-pharma)."
16,26305394,The Influence of Posttraumatic Stress Disorder on Treatment Outcomes of Patients With Borderline Personality Disorder,MAP,EXCLUDE,Pharmacological_Personality,"Secondary analysis of an RCT comparing DBT vs GPM for BPD. DBT and GPM are psychotherapies, not pharmacotherapy. Also a secondary analysis examining moderator effects of PTSD on outcomes. Fails criterion 3 (non-pharma) and exclusion criterion (secondary analysis)."
16,26923796,A patient decision aid for antidepressant use in pregnancy: study protocol for a randomized controlled trial,MAP,EXCLUDE,Protocol_Depression,This is explicitly a STUDY PROTOCOL. Title states 'study protocol for a randomized controlled trial.' No results reported. Fails exclusion criterion (protocol without results).
