id,title,final_decision,category,vote_count,conflict_flag,reconciliation_notes
10.1002/cl2.1408,In-person interventions to reduce social isolation and loneliness: An evidence and gap map,OUT_OF_SCOPE,review/meta-analysis,3-0,none,Unanimous agreement
10.1007/s10608-016-9780-2,Mediators and Moderators of a School-Based Cognitive-Behavioral Depression Prevention Program,OUT_OF_SCOPE,non-pharmacological only,3-0,none,Unanimous agreement
10.1007/s12671-016-0538-4,Administration and Assessment of Brief Mindfulness Practice in the Field: a Feasibility Study Using Ecological Momentary Assessment,OUT_OF_SCOPE,non-pharmacological only,3-0,none,Unanimous agreement
10.1007/s40120-024-00620-x,Differentiating Prodromal Dementia with Lewy Bodies from Prodromal Alzheimer's Disease: A Pragmatic Review for Clinicians,OUT_OF_SCOPE,review/meta-analysis,3-0,none,Unanimous agreement
10.1016/j.conctc.2020.100537,Add-on spironolactone as antagonist of the NRG1-ERBB4 signaling pathway for the treatment of schizophrenia: Study design and methodology of a multicenter randomized placebo-controlled trial,OUT_OF_SCOPE,protocol only,3-0,none,Unanimous agreement
10.1016/j.eiar.2022.106881,Annoyance toward transportation and construction noise in rural suburban and urban regions across Canada,OUT_OF_SCOPE,observational,3-0,none,Unanimous agreement
10.1016/j.ijosm.2016.05.003,Efficacy of manual therapy on anxiety and depression in patients with tension-type headache,OUT_OF_SCOPE,non-pharmacological only,3-0,none,Unanimous agreement
10.1016/j.mhpa.2018.02.006,A single bout of either sprint interval training or moderate intensity continuous training reduces anxiety sensitivity,OUT_OF_SCOPE,non-pharmacological only,3-0,none,Unanimous agreement
10.1016/j.mhpa.2020.100327,A randomized control trial investigating high-intensity interval training and mental health: A novel non-responder phenotype related to anxiety in young adults,OUT_OF_SCOPE,non-pharmacological only,3-0,none,Unanimous agreement
10.1037/sah0000323,Myths and Facts Campaigns Are at Best Ineffective and May Increase Mental Illness Stigma,OUT_OF_SCOPE,non-pharmacological only,3-0,none,Unanimous agreement
10.1038/s41524-020-0286-9,An automated predictor for identifying transition states in solids,OUT_OF_SCOPE,non-mental-health,3-0,none,Unanimous agreement
10.1080/23294515.2016.1144659,Does promoting research advance planning in a general elderly population enhance completion of a research directive,OUT_OF_SCOPE,non-pharmacological only,3-0,none,Unanimous agreement
10.1080/24740527.2020.1870103,Exploring pain phenotypes in workers with chronic low back pain: Application of IMMPACT recommendations,OUT_OF_SCOPE,observational,3-0,none,Unanimous agreement
10.1093/schizbullopen/sgac006,ENHANCE: Phase 3 Randomized Double-Blind Placebo-Controlled Study of Adjunctive Pimavanserin for Schizophrenia,UNCERTAIN,uncertain Canadian involvement,3-0,none,Unanimous agreement
10.1177/00221678211023663,Scaling Up: Multisite Open-Label Clinical Trials of MDMA-Assisted Therapy for Severe Posttraumatic Stress Disorder,UNCERTAIN,uncertain Canadian involvement,2-1,resolved_majority,Majority rule; dissent: Ext2 voted OUT_OF_SCOPE (observational)
10.1177/0265407517734655,Partners' attachment insecurity predicts greater physiological threat in anticipation of attachment-relevant interactions,OUT_OF_SCOPE,observational,3-0,none,Unanimous agreement
10.1177/1088357615588517,Preliminary Randomized Trial of Function-Based Cognitive-Behavioral Therapy to Treat Obsessive Compulsive Behavior in Children with ASD,OUT_OF_SCOPE,non-pharmacological only,3-0,none,Unanimous agreement
10.1177/2043808719841529,A preliminary test of the therapeutic potential of written exposure with rescripting for generalized anxiety disorder,OUT_OF_SCOPE,non-pharmacological only,3-0,none,Unanimous agreement
10.1177/21677026231195792,Hooking the Self Onto the Past: How Positive Autobiographical Memory Retrieval Benefits People With Social Anxiety,OUT_OF_SCOPE,non-pharmacological only,3-0,none,Unanimous agreement
10.1891/emdr-d-21-00009,Low-Intensity Interventions and EMDR Therapy,OUT_OF_SCOPE,review/meta-analysis,3-0,none,Unanimous agreement
10.2196/29014,Comparing the effectiveness of education versus digital cognitive behavioral therapy for adults with sickle cell disease: Protocol for the CaRISMA study,OUT_OF_SCOPE,protocol only,3-0,none,Unanimous agreement
10.25300/misq/2022/17123,Ambivalence Is Better than Indifference: A Behavioral and Neurophysiological Assessment of Ambivalence in Online Environments,OUT_OF_SCOPE,non-mental-health,3-0,none,Unanimous agreement
10.3389/fpsyt.2024.1352420,Evaluating machine learning-enabled and multimodal data-driven exercise prescriptions for mental health: a randomized controlled trial protocol,OUT_OF_SCOPE,protocol only,3-0,none,Unanimous agreement
