id,title,decision,category,notes
row_6150,Evaluation of different methods of environmental enrichment to control anxiety in dogs undergoing hemilaminectomy after acute intervertebral disc extrusion: a randomized double-blinded study,OUT_OF_SCOPE,not_mh,No MH diagnosis
row_6151,Avatar Intervention for Cannabis Use Disorder in a Patient with Schizoaffective Disorder: A Case Report,OUT_OF_SCOPE,not_canadian,No Canadian site/PI
36919309,Feasibility of a Modified Otago Exercise Program for Older Adults With Cognitive Vulnerability,OUT_OF_SCOPE,non_pharma,Non-pharmacological intervention
row_6153,Empowering Self-Critical Perfectionistic Students: A Waitlist Controlled Feasibility Trial of an Explanatory Feedback Intervention on Daily Coping Processes,OUT_OF_SCOPE,non_pharma,Non-pharmacological intervention
row_6154,Efficacy of virtually-delivered Qigong/Tai Chi for depression in middle- and older-age adults with bipolar disorder (QT-BD): A pilot randomized controlled trial during the COVID-19 pandemic,OUT_OF_SCOPE,non_pharma,Non-pharmacological intervention
row_6155,"Diagnosis, Verdict, Conclusion, and Causality",OUT_OF_SCOPE,not_mh,No MH diagnosis
row_6156,The effect of sleep disorders on dementia risk in patients with traumatic brain injury: A large-scale cohort study,OUT_OF_SCOPE,not_mh,No MH diagnosis
row_6157,Examining the Effects of Nature and Animal Videos on Stress,OUT_OF_SCOPE,non_pharma,Non-pharmacological intervention
row_6158,Advancing Alzheimer’s care: a novel therapy with lecanemab,OUT_OF_SCOPE,not_mh,No MH diagnosis
row_6159,Multivariable prediction of functional outcome after first-episode psychosis: a crossover validation approach in EUFEST and PSYSCAN,OUT_OF_SCOPE,not_rct,No RCT design
39288539,New frontiers in the biosynthesis of psychoactive specialized metabolites,OUT_OF_SCOPE,not_canadian,No Canadian site/PI
row_6161,"The Effect of Video Camera, Microphone and Chat Box Use on Social Presence and Engagement in an Online Group Activity",OUT_OF_SCOPE,not_mh,No MH diagnosis
39136257,Deep brain stimulation for Tourette's syndrome,OUT_OF_SCOPE,review,Cochrane review
38394113,Technology and physical activity for preventing cognitive and physical decline in older adults: Protocol of a pilot RCT,OUT_OF_SCOPE,protocol_no_results,Protocol without results
row_6164,Reducing Suicide Ideation in Transgender Adolescents with Mindful Self-Compassion: An Open Trial,OUT_OF_SCOPE,non_pharma,Non-pharmacological intervention
39122565,Exploration of Alzheimer's disease-related gene expression following high-intensity and moderate-intensity exercise interventions,OUT_OF_SCOPE,not_mh,No MH diagnosis
row_6166,Clinical value of Alzheimer's disease biomarker testing,OUT_OF_SCOPE,not_mh,No MH diagnosis
39562453,Mismatch Negativity (MMN) as a Pharmacodynamic/Response Biomarker for NMDA Receptor and Excitatory/Inhibitory Imbalance-Targeted Treatments in Schizophrenia,OUT_OF_SCOPE,non_pharma,Non-pharmacological intervention
39396702,Maternal high-dose docosahexaenoic acid supplementation and neurodevelopment at 5 Years of preterm children,OUT_OF_SCOPE,not_mh,No MH diagnosis
39481094,Effectiveness of King’s Theory of Goal Attainment in Blood Glucose Management for Newly Diagnosed Patients With Type 2 Diabetes: Randomized Controlled Trial,OUT_OF_SCOPE,not_mh,No MH diagnosis
38423771,Digital computerised cognitive training for preventing cognitive decline among hypertensive patients: a study protocol for a multicentre randomised controlled trial (DELIGHT trial),OUT_OF_SCOPE,not_mh,No MH diagnosis
38965832,Real-world performance of plasma p-tau181 in a heterogeneous memory clinic cohort,OUT_OF_SCOPE,not_mh,No MH diagnosis
38706275,China Initiative for Multi-Domain Intervention (CHINA-IN-MUDI) to Prevent Cognitive Decline: Study Design and Progress,OUT_OF_SCOPE,not_mh,No MH diagnosis
row_6173,"Evaluating an EEG-based tool for assessing acute clinical and cognitive changes in adult outpatients with MDD treated with open-label, flexible-dose vortioxetine: A pilot study",OUT_OF_SCOPE,not_rct,Non-randomized
38834317,European Autism GEnomics Registry (EAGER): Protocol for a multicentre cohort study and registry,OUT_OF_SCOPE,not_mh,No MH diagnosis
row_6175,A bibliometric analysis on the health behaviors related to mild cognitive impairment,OUT_OF_SCOPE,review,Review/meta-analysis
row_6176,High performing male and female engineering students in Chile: accounting for mental health and well-being from a developmental paradigm,OUT_OF_SCOPE,not_mh,No MH diagnosis
row_6177,The Crucial Role of Psychosocial Factors in Cardiovascular Health and Illness: A Position Paper,OUT_OF_SCOPE,not_mh,No MH diagnosis
row_6178,Augmentative and alternative communication in autism spectrum disorder: transitioning from letter board to iPad – a case study,OUT_OF_SCOPE,non_pharma,Non-pharmacological intervention
row_6179,Circulating Cell-Free Mitochondrial DNA in Plasma of Individuals with Schizophrenia and Cognitive Deficit in Mexican Population,OUT_OF_SCOPE,not_rct,No RCT design
39402817,Effect of Relaxation-Based Virtual Reality on Psychological and Physiological Stress of Substance Abusers Under Detoxification: A Randomized Controlled Trial,OUT_OF_SCOPE,not_mh,No MH diagnosis
row_6181,Rational design of structure-based vaccines targeting misfolded alpha-synuclein conformers of Parkinson's disease and related disorders,OUT_OF_SCOPE,animal_study,Animal study
row_6182,"Effectiveness of Mindfulness-Based Art Therapy (MBAT) Utilizing Watercolor Painting on Emotion Regulation, Mindfulness, and Obsessive Symptoms",OUT_OF_SCOPE,non_pharma,Non-pharmacological intervention
row_6183,"Connectedness, feeling At home, and joyful Play (CAP): A place-based wellness model for cognitive health promotion in the community by the community",OUT_OF_SCOPE,not_mh,No MH diagnosis
38381069,Uncovering Structure-Activity Relationships of Phenethylamines: Paving the Way for Innovative Mental Health Treatments,OUT_OF_SCOPE,not_canadian,No Canadian site/PI
38689456,Event-Related Potential Changes Following 12-week Yoga Practice in T2DM Patients: A Randomized Controlled Trial,OUT_OF_SCOPE,not_mh,No MH diagnosis
39526905,"Virtual reality exposure therapy for sexual aversion: A proof-of-concept study on acceptability, adequacy, and clinical effects",OUT_OF_SCOPE,not_mh,No MH diagnosis
row_6187,Development of the treatment prediction model in the artificial intelligence in depression – medication enhancement study,OUT_OF_SCOPE,not_canadian,No Canadian site/PI
40015077,Efficacy of integrated social cognitive remediation vs neurocognitive remediation in schizophrenia: Results from the multicenter randomized controlled ISST (Integrated Social Cognition And Social Skills Therapy) study,OUT_OF_SCOPE,non_pharma,Non-pharmacological intervention
40311178,"The difficult inpatient, prevalence and characteristics",OUT_OF_SCOPE,not_rct,Observational/non-RCT
40055696,Effects of transcranial direct current stimulation combined with retrieval practice on semantic memory in patients with schizophrenia,OUT_OF_SCOPE,not_rct,Observational/non-RCT
39791866,Seltorexant for major depressive disorder,OUT_OF_SCOPE,not_canadian,No Canadian site/PI
39569914,Low-Frequency Deep Brain Stimulation in Non-Rapid Eye Movement Sleep Modifies Memory Retention in Parkinson's Disease,OUT_OF_SCOPE,not_mh,No MH diagnosis
40456393,Neurocognitive effects of psilocybin: A systematic and comprehensive review of neuroimaging studies in humans,OUT_OF_SCOPE,not_canadian,No Canadian site/PI
40032291,Mortality risk among people receiving acute hospital care for hallucinogen use compared with the general population,OUT_OF_SCOPE,not_rct,Observational/non-RCT
row_6195,Potential Role of Lymphovenous Bypass in Mitigating Alzheimer's Disease Dementia,OUT_OF_SCOPE,not_mh,No MH diagnosis
41537478,Effects of Electronic Sports on Community-Dwelling Older Adults With Mild Cognitive Impairment: A Randomized Controlled Study,OUT_OF_SCOPE,non_pharma,Non-pharmacological intervention
row_6197,"Patient-Centered Cardiac Surgery: Psychosocial Challenges, Evidence-Based Interventions, and Future Horizons",OUT_OF_SCOPE,non_pharma,Non-pharmacological intervention
39984005,A panel of altered blood oxysterols in patients with mild cognitive impairment: A novel combined diagnostic marker,OUT_OF_SCOPE,not_mh,No MH diagnosis
41002329,POC Sensor Systems and Artificial Intelligence—Where We Are Now and Where We Are Going?,OUT_OF_SCOPE,not_mh,No MH diagnosis
41303365,Perturbations of Zinc Homeostasis and Onset of Neuropsychiatric Disorders.,OUT_OF_SCOPE,not_canadian,No Canadian site/PI
41296368,Therapeutic Use of Cannabis and Cannabinoids: A Review.,OUT_OF_SCOPE,review,JAMA review of cannabis therapeutics
41237789,Cognitive changes in older adults receiving pharmacotherapy for treatment-resistant depression: a secondary analysis of the OPTIMUM randomised controlled trial.,OUT_OF_SCOPE,secondary_analysis,OPTIMUM trial secondary analysis of cognition
41226860,Effectiveness of Photobiomodulation to Treat Motor and Non-Motor Symptoms of Parkinson's Disease: A Randomised Clinical Trial with Extended Treatment.,OUT_OF_SCOPE,not_mh,No MH diagnosis
41220071,Ventilatory stimulation with relative external dead space loading does not impact sex differences in exertional dyspnoea.,OUT_OF_SCOPE,not_mh,No MH diagnosis
41218611,Semaglutide for the treatment of cognitive dysfunction in major depressive disorder: A randomized clinical trial.,OUT_OF_SCOPE,non_pharma,Non-pharmacological intervention
41053410,Can you beat the music? Validation of a gamified rhythmic training in children with ADHD.,OUT_OF_SCOPE,non_pharma,Gamified rhythmic training for ADHD - non-pharma
40986433,Implication for Clinical Trials From Longitudinal Tau-PET Accumulation Across Biological Alzheimer Disease Stages.,OUT_OF_SCOPE,not_mh,No MH diagnosis
40985290,The relationship of soluble tau species with Alzheimer's disease amyloid plaque removal and tau pathology.,OUT_OF_SCOPE,not_mh,No MH diagnosis
40976313,Omega-3 polyunsaturated fatty acids in neurodegenerative disorders: Mixed designs = mixed results.,OUT_OF_SCOPE,not_mh,No MH diagnosis
40962221,Quality of Life in Adults With Transposition of the Great Arteries With a Systemic Right or Left Ventricle.,OUT_OF_SCOPE,not_rct,Observational/non-RCT
40922004,LGBTQ + Affirmative CBT: a hierarchical linear model of longitudinal outcomes and mechanisms of change.,OUT_OF_SCOPE,not_rct,Observational/non-RCT
