id,title,decision,category,confidence,notes
9307,Efficacy of intravenous ketamine treatment in anxious versus nonanxious unipolar treatment-resistant depression.,EXCLUDE,non-Canadian,high,Multisite US trial (no Canadian sites mentioned); ketamine vs midazolam in TRD
9308,Maintenance of antidepressant and antisuicidal effects by D-cycloserine among patients with treatment-resistant depression who responded to low-dose ketamine infusion.,EXCLUDE,non-Canadian,high,Taiwan-based RCT of D-cycloserine after ketamine infusion in TRD
9309,Deep brain stimulation for treatment-resistant major depressive disorder: a comparison of two targets and long-term follow-up.,EXCLUDE,non-Canadian,high,Belgium-based DBS trial; non-pharma (neurostimulation device)
9310,Electrophysiological and behavioral effects of unilateral and bilateral rTMS; A randomized clinical trial on rumination and depression.,EXCLUDE,non-Canadian,high,Iran/US-based rTMS trial; non-pharma intervention
9311,"A double-blind, randomized pilot study for comparison of Melissa officinalis L. and Lavandula angustifolia Mill. with Fluoxetine for the treatment of depression.",EXCLUDE,non-Canadian,high,Iran-based herbal vs fluoxetine RCT for MDD
9312,Acupuncture for patients with insomnia disorder using resting-state functional magnetic resonance imaging: a protocol for a randomized controlled trial.,EXCLUDE,protocol_no_results,high,China-based acupuncture protocol for insomnia; no results; non-pharma
9313,Gabapentin reduced drinking in patients with alcohol use disorder and alcohol withdrawal symptoms.,EXCLUDE,non-Canadian,high,US-based; summary of AUD trial; not MH pharma for diagnosed MH
9314,Dose increase of S-Adenosyl-Methionine and escitalopram in a randomized clinical trial for major depressive disorder.,EXCLUDE,non-Canadian,high,US-based multi-site RCT of SAMe dose escalation for MDD
9315,"A randomized, double-blind study comparing the efficacy and safety of trazodone once-a-day and venlafaxine extended-release for the treatment of patients with major depressive disorder.",EXCLUDE,non-Canadian,high,European multi-site RCT (Italy/Austria/Czech/Romania/Slovakia)
9316,Effect of a self-help educational program with peer group on anxiety of mothers of children with cancer.,EXCLUDE,non-Canadian,high,Iran-based; non-pharma psychosocial intervention; anxiety not DSM-diagnosed
9317,Efficacy of Acupuncture for Parkinson's Disease Anxiety: Two-Stage Protocol for a Randomized Controlled Clinical Trial.,EXCLUDE,protocol_no_results,high,China-based acupuncture protocol; non-pharma; no results
9318,Association of plasma cytokines and antidepressant response following mild-intensity whole-body hyperthermia in major depressive disorder.,EXCLUDE,non-Canadian,high,US-based whole-body hyperthermia trial; non-pharma
9319,"Crocus sativus L. versus Citalopram in the Treatment of Major Depressive Disorder with Anxious Distress: A Double-Blind, Controlled Clinical Trial.",EXCLUDE,non-Canadian,high,Iran-based saffron vs citalopram RCT for MDD
9320,"Supplementation with extract of Gynostemma pentaphyllum leaves reduces anxiety in healthy subjects with chronic psychological stress: A randomized, double-blind, placebo-controlled clinical trial.",EXCLUDE,non-Canadian,high,Korea-based; healthy subjects with stress; no diagnosed MH disorder
9321,Efficacy and Tolerability of Asenapine Compared with Olanzapine in Borderline Personality Disorder: An Open-Label Randomized Controlled Trial.,EXCLUDE,non-Canadian,high,Italy-based; BPD (not a DSM-5 MH disorder in scope); open-label
9322,Antidepressant Efficacy of Prolonged Intermittent Theta Burst Stimulation Monotherapy for Recurrent Depression.,EXCLUDE,non-Canadian,high,Taiwan-based piTBS monotherapy RCT; non-pharma (neurostimulation)
9323,Comparison of vortioxetine and sertraline for treatment of major depressive disorder in elderly patients.,EXCLUDE,non-Canadian,high,Iran-based RCT comparing vortioxetine vs sertraline in elderly MDD
9324,Brain Responses to Emotional Stimuli after Eicosapentaenoic Acid and Docosahexaenoic Acid Treatments in Major Depressive Disorder.,EXCLUDE,non-Canadian,high,Taiwan-based EPA vs DHA RCT for MDD; nutraceutical
9325,"A double-blind, randomized, sham-controlled study of cranial electrotherapy stimulation as an add-on treatment for tic disorders in children and adolescents.",EXCLUDE,non-Canadian,high,China-based CES for tic disorders; non-pharma; not MH pharma
9326,SAFETY AND EFFICACY OF THE COMPLEX DEPRILIUM IN REDUCING SUBCLINICAL SYMPTOMS OF DEPRESSION IN PATIENTS WITH CHRONIC NON-COMMUNICABLE DISEASES.,EXCLUDE,non-Canadian,high,Ukraine-based; supplement (SAMe complex) for subclinical depression in NCD patients
9327,The intestinal microbiota as a predictor for antidepressant treatment outcome in geriatric depression.,EXCLUDE,non-Canadian,high,US-based (Los Angeles); secondary analysis of parent RCT; geriatric MDD
9328,Electroacupuncture plus moxibustion therapy for patients with major depressive disorder: study protocol for a randomized controlled trial.,EXCLUDE,protocol_no_results,high,Korea-based acupuncture protocol for MDD; non-pharma; no results
9329,Yoga reduced test anxiety in nursing students (acute bout study).,EXCLUDE,non-Canadian,high,Non-pharma (yoga); healthy students with test anxiety; no diagnosed MH
9330,Does oral administration of ketamine accelerate response to treatment in major depressive disorder?,EXCLUDE,non-Canadian,high,Iran-based oral ketamine + sertraline RCT for MDD
9331,Randomized trial of brief interpersonal psychotherapy and cognitive behavioral therapy for depression delivered both in-person and by telehealth.,EXCLUDE,non-pharma,high,US-based; psychotherapy (IPT/CBT) comparison; non-pharma
9332,"The Central Response of Electroacupuncture on Trigeminal Neuralgia Based on Resting-State Functional Magnetic Resonance Imaging: A Protocol for a Pre-Experimental, Single-Centre, Randomized, Controlled Trial.",EXCLUDE,protocol_no_results,high,China-based electroacupuncture protocol for trigeminal neuralgia; not MH
9333,Standard CBT versus integrative and multimodal CBT assisted by virtual-reality for generalized anxiety disorder.,EXCLUDE,non-Canadian,high,Romania-based CBT RCT for GAD; non-pharma (psychotherapy)
9334,Patient Rating of Therapeutic Factors and Response to Cognitive-Behavioral Group Therapy in Patients with Obsessive-Compulsive Disorder.,EXCLUDE,non-Canadian,high,Brazil-based CBGT for OCD; non-pharma
9335,Plasma C-reactive protein levels in bipolar depression during cyclooxygenase-2 inhibitor combination treatment.,EXCLUDE,non-Canadian,high,US-based escitalopram + celecoxib RCT for bipolar depression
9336,Effect and neural mechanisms of the transcutaneous vagus nerve stimulation for relapse prevention in patients with remitted major depressive disorder: protocol for a longitudinal study.,EXCLUDE,protocol_no_results,high,China-based taVNS protocol for MDD relapse prevention; no results
9337,Acute Efficacy and Safety of Escitalopram Versus Desvenlafaxine and Vortioxetine in the Treatment of Depression With Cognitive Complaint.,EXCLUDE,non-Canadian,high,South Korea-based multi-center RCT comparing antidepressants for MDD with cognitive complaints
9338,The Ham-D is not Hamilton's Depression Scale.,EXCLUDE,review,high,Methodological review article; not an RCT
9339,Insight as a mechanism of change in dynamic therapy for major depressive disorder.,MAP,include_candidate,medium,RCT of dynamic vs cognitive therapy for MDD; 100 patients; need to verify if Canadian PI/site. Authors include Crits-Christoph (US) but listed as in_sample=True in dataset
9340,Medicinal and Synthetic Cannabinoids for Pediatric Patients: A Review of Clinical Effectiveness and Guidelines.,EXCLUDE,review,high,CADTH review (Canadian org) but this is a review not an RCT
9341,A protocol of randomized controlled trial for Modified Xiaoyao Powder in the treatment of COPD combined mild to moderate depression.,EXCLUDE,protocol_no_results,high,China-based herbal medicine protocol for COPD+depression; no results
9342,"A randomized controlled double-blind clinical trial comparing versus placebo the effect of an edible algal extract (Ulva Lactuca) on the component of depression in healthy volunteers with anhedonia.",EXCLUDE,non-Canadian,high,France-based algal extract trial for anhedonia; healthy volunteers not diagnosed MDD
9343,"Study protocol and rationale for a prospective, randomized, double-blind, placebo-controlled study to evaluate the effects of Ashwagandha on nonrestorative sleep.",EXCLUDE,protocol_no_results,high,India-based Ashwagandha protocol for nonrestorative sleep; no results
9344,"Predicting Treatment Outcome in Major Depressive Disorder Using Serotonin 4 Receptor PET Brain Imaging, Functional MRI, Cognitive-, EEG-Based, and Peripheral Biomarkers.",EXCLUDE,non-Canadian,high,Denmark-based open-label escitalopram trial for MDD; non-randomized
9345,Study on the mechanism of regulating the hypothalamic cortical hormone releasing hormone pathway by vibro-annular abdominal massage in the treatment of insomnia.,EXCLUDE,non-Canadian,high,China-based abdominal massage protocol for insomnia; non-pharma
9346,Selective Serotonergic (SSRI) Versus Noradrenergic (SNRI) Reuptake Inhibitors with and without Acetylsalicylic Acid in Major Depressive Disorder.,EXCLUDE,non-Canadian,high,Belgium-based RCT of escitalopram vs duloxetine +/- ASA for MDD
9347,"Probiotic Lactobacillus Plantarum 299v decreases kynurenine concentration and improves cognitive functions in patients with major depression.",EXCLUDE,non-Canadian,high,Poland-based probiotic RCT for MDD; nutraceutical intervention
9348,Effects of long-term supplementation of probiotics on cognitive function and emotion in temporal lobe epilepsy.,EXCLUDE,non-Canadian,high,China-based probiotic RCT for TLE; not primary MH disorder
9349,"L-carnosine as an add-on to risperidone for treatment of negative symptoms in patients with stable schizophrenia.",EXCLUDE,non-Canadian,high,Iran-based L-carnosine add-on RCT for schizophrenia
9350,Dextromethorphan Protect the Valproic Acid Induced Downregulation of Neutrophils in Patients with Bipolar Disorder.,EXCLUDE,non-Canadian,high,Taiwan-based DM + VPA RCT for bipolar disorder
9351,Pulmonary rehabilitation integrated coached exercise training for patients with COPD: a study protocol for a randomized controlled trial.,EXCLUDE,protocol_no_results,high,China-based exercise protocol for COPD; not MH; no results
9352,Hearing Rehabilitative Treatment for Older Adults With Comorbid Hearing Loss and Depression.,EXCLUDE,non-Canadian,high,US-based hearing aid RCT for MDD+hearing loss; non-pharma (device)
9353,Network dynamics of depressive symptoms in antidepressant medication treatment: secondary analysis of eight clinical trials.,EXCLUDE,secondary_analysis,high,Pooled secondary analysis of 8 existing RCTs; not a primary RCT
9354,Effects of Optimized Acupuncture and Moxibustion Treatment on Depressive Symptoms and Executive Functions in Patients With Post-Stroke Depression.,EXCLUDE,non-Canadian,high,China-based acupuncture/moxibustion RCT for post-stroke depression; non-pharma
9355,Pharmacist assessment of drug-gene interactions and drug-induced phenoconversion in major depressive disorder: a case report.,EXCLUDE,observational,high,Case report; not an RCT
9356,Effects of Low-Dose Ketamine on the Antidepressant Efficacy and Suicidal Ideations in Patients Undergoing Electroconvulsive Therapy.,EXCLUDE,non-Canadian,high,China-based ketamine + ECT RCT for MDD
9357,Maternal personality traits moderate treatment response in the Multimodal Treatment Study of attention-deficit/hyperactivity disorder.,EXCLUDE,secondary_analysis,high,Secondary moderator analysis of MTA study (US-based); not a primary RCT
9358,Analysis of EBN Interventions in the Perioperative Period of Minimally Invasive Surgery for Intrahepatic and Extrahepatic Bile Duct Stones.,EXCLUDE,non-Canadian,high,China-based nursing intervention RCT for bile duct surgery; not MH
9359,No antidepressant effects of low intensity transcranial pulsed electromagnetic fields for treatment resistant depression.,EXCLUDE,non-Canadian,high,Netherlands-based tPEMF RCT for TRD; non-pharma
