id,title,decision,category,notes
30756134,Targeting the immune system in the treatment of bipolar disorder,OUT_OF_SCOPE,not_canadian,No Canadian site/PI indicators
30738126,The glycine site of NMDA receptors: A target for cognitive enhancement in psychiatric disorders,OUT_OF_SCOPE,not_canadian,No Canadian site/PI indicators
31332903,A multivariate neuroimaging biomarker of individual outcome to transcranial magnetic stimulation in depression,OUT_OF_SCOPE,not_canadian,No Canadian site/PI indicators
33323410,Aβ oligomers induce pathophysiological mGluR5 signaling in Alzheimer's disease model mice in a sex-selective manner,OUT_OF_SCOPE,not_mental_health,No MH condition identified
35759327,Cerebral amyloid angiopathy interacts with neuritic amyloid plaques to promote tau and cognitive decline,OUT_OF_SCOPE,not_pharmacotherapy,No pharma intervention
34232578,"Depression, Anxiety, and Mother-Infant Bonding in Women Seeking Treatment for Postpartum Depression Before and During the COVID-19 Pandemic.",OUT_OF_SCOPE,not_pharmacotherapy,No pharma intervention
30336852,"Intraoperative ketamine for prevention of depressive symptoms after major surgery in older adults: an international, multicentre, double-blind, randomised clinical trial.",OUT_OF_SCOPE,not_canadian,No Canadian site/PI indicators
30087557,Effects of creative expression therapy for older adults with mild cognitive impairment at risk of Alzheimer's disease: a randomized controlled clinical trial.,OUT_OF_SCOPE,not_pharmacotherapy,No pharma intervention
30622095,Improving the Efficacy of Cognitive Training for Digital Mental Health Interventions Through Avatar Customization: Crowdsourced Quasi-Experimental Study.,OUT_OF_SCOPE,not_pharmacotherapy,No pharma intervention
29025788,Brief Mindfulness Meditation for Depression and Anxiety Symptoms in Patients Undergoing Hemodialysis: A Pilot Feasibility Study.,OUT_OF_SCOPE,not_canadian,No Canadian site/PI indicators
30178064,Effect of Residential Lead-Hazard Interventions on Childhood Blood Lead Concentrations and Neurobehavioral Outcomes: A Randomized Clinical Trial.,OUT_OF_SCOPE,not_canadian,No Canadian site/PI indicators
32108529,"Microdosing psychedelics: Demographics, practices, and psychiatric comorbidities.",OUT_OF_SCOPE,not_canadian,No Canadian site/PI indicators
29701939,Bilateral Repetitive Transcranial Magnetic Stimulation Decreases Suicidal Ideation in Depression.,OUT_OF_SCOPE,not_canadian,No Canadian site/PI indicators
27622854,Exercise during pregnancy enhances cerebral maturation in the newborn: A randomized controlled trial.,OUT_OF_SCOPE,not_mental_health,No MH condition identified
