id,title,decision,category,confidence,notes
row_10808,Evaluating a Virtual Adult ADHD Group in a Primary Care Setting: Feasibility and Clinical Outcomes Pilot Study,EXCLUDE,NON_PHARMA,HIGH,No pharmacological intervention for mental health
row_10809,Twiddler's Syndrome: a Rare Complication of Pacemakers,EXCLUDE,NON_CANADIAN,HIGH,Indonesian study; Montreal Cognitive Assessment is a test name not a Canadian site
41192952,Chemotherapy Under Fire: Narratives of Patients With Cancer During Wartime,EXCLUDE,NON_CANADIAN,HIGH,No Canadian site or PI identified
row_10811,The Application Value of Nursing Interventions Based on the Chronic Illness Trajectory Framework in Patients With Amyotrophic Lateral Sclerosis,EXCLUDE,NON_CANADIAN,HIGH,No Canadian site or PI identified
40420052,"Cognitive functions in schizophrenia: the interplay between blood viscosity, serum osmolarity, and symptom severity",EXCLUDE,NON_CANADIAN,HIGH,No Canadian site or PI identified
row_10813,Preoperative insomnia exacerbates postoperative sleep fragmentation in elderly arthroplasty patients: a prospective cohort study,EXCLUDE,NON_CANADIAN,HIGH,No Canadian site or PI identified
40442633,A preliminary study of the reliability and validity of the Uyghur version of the NUCOG cognitive screening application,EXCLUDE,NON_CANADIAN,HIGH,No Canadian site or PI identified
40904277,"Effects of nurse-led, web-based brief behavioral therapy on insomnia severity in patients in the chronic stage of stroke recovery: a preliminary randomized controlled trial",EXCLUDE,NON_CANADIAN,HIGH,No Canadian site or PI identified
41416579,Phase 2 study of zervimesine (CT1812) in participants with mild-to-moderate dementia with Lewy bodies (DLB),EXCLUDE,NON_CANADIAN,HIGH,No Canadian site or PI identified
41566492,Transauricular vagus nerve electrical stimulation improves postoperative sleep disorders in elderly patients (VNstep): protocol for a randomized controlled clinical trial,EXCLUDE,PROTOCOL,HIGH,Protocol without results
41456040,Safety and efficacy of allogeneic umbilical cord blood cells and erythropoietin combination therapy in patients with subacute stroke,EXCLUDE,NON_CANADIAN,HIGH,No Canadian site or PI identified
row_10819,Mindfulness-based cognitive therapy for depression after traumatic brain injury: Responders' characteristics,EXCLUDE,NON_CANADIAN,HIGH,No Canadian site or PI identified
row_10820,Virtual reality-based exposure with 360° video as part of cognitive behavioral therapy for social anxiety disorder: a three-arm randomized controlled trial,EXCLUDE,NON_CANADIAN,HIGH,No Canadian site or PI identified
row_10821,Targeting cognitive impairments in borderline personality disorder: A cognitive remediation approach,EXCLUDE,NOT_RCT,HIGH,Not an RCT
row_10822,Guided or self-guided resources: what works best for university student stress management?,EXCLUDE,NON_CANADIAN,HIGH,No Canadian site or PI identified
40549982,Multisite Randomized Trial of Inpatient Palliative Care Intervention for Patients Undergoing Hematopoietic Stem Cell Transplantation,EXCLUDE,NON_CANADIAN,HIGH,No Canadian site or PI identified
row_10824,In vivo-measured Lewy body pathology is associated with neuropsychiatric symptoms across the Alzheimer’s disease continuum,EXCLUDE,NON_CANADIAN,HIGH,No Canadian site or PI identified
