id,title,final_decision,category,vote_count,conflict_flag,reconciliation_notes
36273223,The influence of a virtual reality entertainment program on depressive symptoms and sedentary behaviour in inpatient stroke survivors: a research protocol for a pilot randomized controlled trial.,OUT_OF_SCOPE,protocol_only,OUT_OF_SCOPE:3,no,Protocol only; no results reported. Non-pharmacological (VR). Canadian but protocol only.
34749784,Measuring the effects of nurse practitioner (NP)-led care on depression and anxiety levels in people with multiple sclerosis: a study protocol for a randomized controlled trial.,OUT_OF_SCOPE,protocol_only,OUT_OF_SCOPE:3,no,Protocol only; no results. Non-pharmacological (NP-led care). Canadian (Edmonton).
33176306,Comprehensive Geriatric Care to Improve Mobility after Hip Fracture: An RCT.,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE:3,no,Canadian RCT (Vancouver) but non-pharmacological (geriatric care/PT/OT); not targeting mental disorder.
35147535,The Rationale and Design of Behavioral Interventions for Management of Agitation in Dementia in a Multi-Site Clinical Trial.,OUT_OF_SCOPE,protocol_only,OUT_OF_SCOPE:3,no,Protocol/design paper for StaN study; no results reported. Canadian multi-site.
40268660,"Maternal oxytocin administration mitigates nociceptive, social, and epigenetic impairments in adolescent offspring exposed to perinatal trauma.",OUT_OF_SCOPE,non-mental-health,OUT_OF_SCOPE:3,no,Animal study (rats); not a human clinical trial.
34806929,Alteration of Resting Electroencephalography by Acute Caffeine Consumption in Early Phase Psychosis.,OUT_OF_SCOPE,non-pharmacological,OUT_OF_SCOPE:3,no,Canadian (Nova Scotia); RCT of caffeine in schizophrenia patients but caffeine is not a pharmacological intervention targeting mental disorder; mechanistic EEG study.
34238042,The Long-Term Effects of a Housing First Intervention on Primary Care and Non-Primary Care Physician Visits Among Homeless Adults with Mental Illness.,OUT_OF_SCOPE,secondary_analysis,OUT_OF_SCOPE:3,no,Canadian (At Home/Chez Soi Toronto); secondary analysis of Housing First RCT; non-pharmacological.
39475768,"Evaluation of the sedative properties of oral trazodone, gabapentin or their combination in healthy cats.",OUT_OF_SCOPE,non-mental-health,OUT_OF_SCOPE:3,no,Animal study (cats); veterinary pharmacology.
34170257,The Impact of a Novel Mimicry Task for Increasing Emotion Recognition in Adults with Autism Spectrum Disorder and Alexithymia: Protocol for a Randomized Controlled Trial.,OUT_OF_SCOPE,protocol_only,OUT_OF_SCOPE:3,no,Protocol only; no results. Non-pharmacological. Australian (not Canadian).
38706272,Dominantly Inherited Alzheimer Network Trials Unit (DIAN-TU): Trial Satisfaction and Attitudes towards Future Clinical Trials.,OUT_OF_SCOPE,secondary_analysis,OUT_OF_SCOPE:3,no,Post-trial satisfaction survey; not main trial results. Canadian co-author (Gauthier).
36927273,An alpha7 nAChR approach for the baseline-dependent modulation of deviance detection in schizophrenia: A pilot study.,MAP,psychotic,MAP:3,no,Canadian RCT (Ottawa); randomized double-blind placebo-controlled crossover pilot of CDP-choline 500mg + galantamine 16mg in 24 patients with stable schizophrenia; pharmacological intervention targeting mental disorder; 2023.
35484523,"A distance-based, randomized controlled trial for reducing sedentary behavior among prostate cancer survivors: a study protocol.",OUT_OF_SCOPE,protocol_only,OUT_OF_SCOPE:3,no,Protocol only; Canadian. Non-pharmacological (Fitbit + counselling).
31651355,"Sahaj Samadhi meditation vs a Health Enhancement Program in improving late-life depression severity and executive function: study protocol for a two-site, randomized controlled trial.",OUT_OF_SCOPE,protocol_only,OUT_OF_SCOPE:3,no,Protocol only; Canadian (London ON and Montreal QC). Non-pharmacological (meditation).
34124858,Lamotrigine for acute bipolar depression: An exploratory item-level analysis.,OUT_OF_SCOPE,secondary_analysis,OUT_OF_SCOPE:3,no,Pooled secondary analysis of 5 prior RCTs; not primary trial results. Canadian PI (Peters).
35920743,Health-related quality of life in people receiving opioid agonist treatment and treatment for hepatitis C virus infection.,OUT_OF_SCOPE,non-mental-health,OUT_OF_SCOPE:3,no,RCT of elbasvir/grazoprevir for HCV in people on OAT; pharmacological intervention targets HCV not mental disorder.
35656646,Differences in Suicide-Related Twitter Content According to User Influence.,OUT_OF_SCOPE,observational,OUT_OF_SCOPE:3,no,Observational cross-sectional study of Twitter content; not a clinical trial. Canadian (Toronto).
