id,title,decision,category,confidence,notes
41236933,Basil (Ocimum basilicum) to Alleviate Anxiety in Patients With Major Depressive Disorder: A Randomized Placebo-Controlled Clinical Trial.,OUT_OF_SCOPE,non-Canadian,high,"RCT of basil syrup for anxiety in MDD. Conducted at Fasa University, Iran. Not Canadian."
41234940,Efficacy of health ecology-based health education on early rehabilitation outcomes in stroke patients.,OUT_OF_SCOPE,non-pharma only,high,"RCT of health ecology-based education for stroke rehab. Non-pharma intervention, non-MH primary."
41225406,A qualitative study exploring youth's experiences of hospital- and integrated community-based mental health services: the YouthCan IMPACT initiative.,OUT_OF_SCOPE,non-pharma only,high,Canadian qualitative study embedded in pRCT of integrated youth MH services. Non-pharmacological intervention.
41224012,Trajectories and predictors of depressive and anxiety symptom improvement with adjunctive cariprazine in antidepressant-treated adults with major depression: A Bayesian mega-analysis of two randomized trials.,OUT_OF_SCOPE,non-Canadian,high,"Mega-analysis of cariprazine phase 3 trials for MDD. Authors US-based (Strawn, Mills). Secondary analysis, not original RCT."
41222827,The Potential Clinical Use of Opioid-Receptor-Modulating Drugs in Bipolar Disorder.,OUT_OF_SCOPE,review,high,Narrative review of opioid-receptor-modulating drugs in bipolar disorder. Not an RCT.
41222500,Safety and Efficacy of the Novel OmniaSecure Defibrillation Lead Through Long-Term Follow-Up: Final Results From the LEADR Trial.,OUT_OF_SCOPE,non-MH,high,RCT of defibrillation lead (cardiac device). Not mental health.
41220962,Efficacy of preoperative transcutaneous electrical acupoint stimulation in reducing postoperative delirium in older adults undergoing orthopedic surgery: a randomized controlled trial.,OUT_OF_SCOPE,non-Canadian,high,"RCT of transcutaneous electrical acupoint stimulation for postoperative delirium in orthopedic surgery. Non-Canadian, non-pharma."
41218184,Effects of Shallow Needling for Chronic Primary Insomnia: Protocol for a Randomized Controlled Trial.,OUT_OF_SCOPE,protocol without results,high,Protocol for RCT of shallow needling for insomnia. No results. Non-pharma.
41218068,"Evaluating and implementing The CONNECT Program-A group-based telehealth intervention to reduce social isolation, loneliness, and mental health symptoms in adults 55+ vs routine community programming: Study protocol for a randomized controlled trial.",OUT_OF_SCOPE,protocol without results,high,"Canadian protocol for RCT of CONNECT telehealth program for adults 55+. Non-pharma intervention, protocol only."
41217862,Effectiveness of Escitalopram and Nortriptyline on Depressive Symptoms in Parkinson's disease: the ADepT-PD RCT pilot.,OUT_OF_SCOPE,non-Canadian,high,"RCT of escitalopram and nortriptyline for depression in Parkinson's. UK NHS study, not Canadian."
41217486,Characterisation of a touchscreen-based task for assessing cognitive judgement bias in mice: a new translational tool for affective state disorder drug screening.,OUT_OF_SCOPE,animal/lab,high,Mouse study of touchscreen-based cognitive judgement bias task. Animal model.
41217122,Real-World Efficacy and Safety of Zishenyizhi Pill for Cognitive Impairment Associated With Cerebral Small Vessel Disease: Protocol for a Multicenter Prospective Observational Study.,OUT_OF_SCOPE,non-Canadian,high,"Protocol for observational study of Zishenyizhi pill for cognitive impairment. Observational, non-Canadian (China)."
41213697,Effect of time-restricted feeding on cognitive dysfunction in Alzheimer's disease and the role of ApoE polymorphism: protocol for a randomised controlled trial.,OUT_OF_SCOPE,protocol without results,high,"Protocol for RCT of time-restricted feeding for Alzheimer's. Non-pharma, protocol only."
41211497,"Statistical study of anxiety among students of higher education in Guwahati, Assam: Understanding symptoms and treatment-seeking behavior.",OUT_OF_SCOPE,observational,high,"Statistical survey of anxiety among higher education students in Guwahati, India. Observational, non-Canadian."
41211491,Accelerated left dorsolateral prefrontal cortex transcranial magnetic stimulation for suicidality in patients with depressive disorders: A case series.,OUT_OF_SCOPE,non-RCT,high,"Case series of accelerated TMS for suicidality in depression. Not an RCT, non-pharma."
41211476,"A novel multimodal pharmacologic approach using guanfacine, N-acetylcysteine, and donepezil in severe TBI: a case series.",OUT_OF_SCOPE,non-RCT,high,Case series of guanfacine/NAC/donepezil in severe TBI. Not an RCT.
41210519,Unfinished business in virtual reality: Development and preliminary evaluation of an empty chair intervention grounded in emotion-focused therapy.,OUT_OF_SCOPE,non-pharma only,high,RCT of VR-based emotion-focused therapy. Non-pharmacological intervention.
